Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,914
3199.00,890
3198.00,897
3197.00,1021
3196.00,1245
3195.00,1609
3194.00,1892
3193.00,1711
3192.00,1481
3191.00,1244
3190.00,1075
3189.00,943
3188.00,817
3187.00,651
3186.00,385
3185.00,76
3184.00,-238
3183.00,-267
3182.00,-75
3181.00,777
3180.00,1469
3179.00,1499
3178.00,1456
3177.00,1377
3176.00,1355
3175.00,1365
3174.00,1437
3173.00,1509
3172.00,1560
3171.00,1482
3170.00,1306
3169.00,1185
3168.00,1125
3167.00,1298
3166.00,1547
3165.00,1883
3164.00,1904
3163.00,1657
3162.00,1329
3161.00,1009
3160.00,942
3159.00,789
3158.00,330
3157.00,5
3156.00,-135
3155.00,239
3154.00,798
3153.00,840
3152.00,716
3151.00,429
3150.00,268
3149.00,336
3148.00,386
3147.00,429
3146.00,618
3145.00,824
3144.00,829
3143.00,749
3142.00,525
3141.00,388
3140.00,389
3139.00,249
3138.00,47
3137.00,143
3136.00,330
3135.00,511
3134.00,656
3133.00,699
3132.00,723
3131.00,727
3130.00,776
3129.00,848
3128.00,840
3127.00,846
3126.00,1114
3125.00,1298
3124.00,1097
3123.00,942
3122.00,901
3121.00,873
3120.00,851
3119.00,762
3118.00,646
3117.00,554
3116.00,500
3115.00,605
3114.00,650
3113.00,503
3112.00,505
3111.00,726
3110.00,1201
3109.00,1846
3108.00,1708
3107.00,1257
3106.00,732
3105.00,299
3104.00,290
3103.00,321
3102.00,326
3101.00,309
3100.00,259
3099.00,399
3098.00,705
3097.00,782
3096.00,737
3095.00,694
3094.00,671
3093.00,780
3092.00,888
3091.00,900
3090.00,850
3089.00,676
3088.00,618
3087.00,740
3086.00,862
3085.00,980
3084.00,990
3083.00,950
3082.00,1051
3081.00,1174
3080.00,1094
3079.00,960
3078.00,782
3077.00,695
3076.00,913
3075.00,1055
3074.00,992
3073.00,906
3072.00,792
3071.00,806
3070.00,935
3069.00,967
3068.00,940
3067.00,829
3066.00,701
3065.00,778
3064.00,904
3063.00,976
3062.00,1046
3061.00,1168
3060.00,1209
3059.00,967
3058.00,840
3057.00,1045
3056.00,1142
3055.00,1031
3054.00,999
3053.00,1063
3052.00,1123
3051.00,1178
3050.00,1334
3049.00,1547
3048.00,1576
3047.00,1521
3046.00,1430
3045.00,1329
3044.00,1245
3043.00,1151
3042.00,968
3041.00,779
3040.00,643
3039.00,510
3038.00,348
3037.00,213
3036.00,165
3035.00,267
3034.00,741
3033.00,1082
3032.00,1142
3031.00,1156
3030.00,1107
3029.00,1061
3028.00,1020
3027.00,1168
3026.00,1497
3025.00,1604
3024.00,1527
3023.00,1558
3022.00,1655
3021.00,1551
3020.00,1338
3019.00,1200
3018.00,1107
3017.00,1245
3016.00,1454
3015.00,1426
3014.00,1315
3013.00,1172
3012.00,1017
3011.00,865
3010.00,734
3009.00,736
3008.00,762
3007.00,747
3006.00,712
3005.00,601
3004.00,486
3003.00,427
3002.00,394
3001.00,431
3000.00,522
2999.00,819
2998.00,1063
2997.00,963
2996.00,860
2995.00,910
2994.00,945
2993.00,842
2992.00,743
2991.00,710
2990.00,676
