Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,1038
3199.00,983
3198.00,977
3197.00,986
3196.00,1002
3195.00,999
3194.00,986
3193.00,962
3192.00,920
3191.00,855
3190.00,822
3189.00,811
3188.00,829
3187.00,839
3186.00,812
3185.00,770
3184.00,718
3183.00,681
3182.00,659
3181.00,691
3180.00,683
3179.00,562
3178.00,500
3177.00,499
3176.00,638
3175.00,764
3174.00,631
3173.00,526
3172.00,553
3171.00,575
3170.00,586
3169.00,549
3168.00,503
3167.00,485
3166.00,483
3165.00,505
3164.00,523
3163.00,539
3162.00,623
3161.00,711
3160.00,664
3159.00,608
3158.00,585
3157.00,551
3156.00,501
3155.00,476
3154.00,454
3153.00,330
3152.00,208
3151.00,184
3150.00,151
3149.00,87
3148.00,177
3147.00,379
3146.00,421
3145.00,471
3144.00,916
3143.00,1199
3142.00,858
3141.00,625
3140.00,604
3139.00,398
3138.00,109
3137.00,208
3136.00,418
3135.00,587
3134.00,714
3133.00,737
3132.00,738
3131.00,714
3130.00,699
3129.00,688
3128.00,639
3127.00,583
3126.00,558
3125.00,539
3124.00,523
3123.00,538
3122.00,605
3121.00,602
3120.00,539
3119.00,511
3118.00,500
3117.00,511
3116.00,516
3115.00,463
3114.00,415
3113.00,396
3112.00,387
3111.00,391
3110.00,444
3109.00,532
3108.00,497
3107.00,418
3106.00,364
3105.00,321
3104.00,304
3103.00,290
3102.00,279
3101.00,259
3100.00,226
3099.00,239
3098.00,293
3097.00,317
3096.00,327
3095.00,341
3094.00,362
3093.00,410
3092.00,452
3091.00,448
3090.00,419
3089.00,344
3088.00,285
3087.00,251
3086.00,230
3085.00,221
3084.00,214
3083.00,208
3082.00,198
3081.00,194
3080.00,249
3079.00,308
3078.00,320
3077.00,323
3076.00,321
3075.00,316
3074.00,305
3073.00,327
3072.00,396
3071.00,403
3070.00,355
3069.00,351
3068.00,372
3067.00,355
3066.00,325
3065.00,310
3064.00,295
3063.00,254
3062.00,216
3061.00,208
3060.00,203
3059.00,192
3058.00,188
3057.00,200
3056.00,209
3055.00,209
3054.00,213
3053.00,221
3052.00,240
3051.00,269
3050.00,280
3049.00,281
3048.00,273
3047.00,262
3046.00,251
3045.00,240
3044.00,219
3043.00,199
3042.00,200
3041.00,203
3040.00,194
3039.00,194
3038.00,239
3037.00,291
3036.00,346
3035.00,383
3034.00,375
3033.00,350
3032.00,297
3031.00,277
3030.00,311
3029.00,341
3028.00,364
3027.00,345
3026.00,285
3025.00,275
3024.00,309
3023.00,425
3022.00,587
3021.00,555
3020.00,418
3019.00,344
3018.00,307
3017.00,371
3016.00,462
3015.00,370
3014.00,235
3013.00,341
3012.00,492
3011.00,317
3010.00,96
3009.00,152
3008.00,258
3007.00,268
3006.00,257
3005.00,234
3004.00,200
3003.00,107
3002.00,24
3001.00,41
3000.00,64
2999.00,59
2998.00,46
2997.00,13
2996.00,-13
2995.00,-0
2994.00,16
2993.00,32
2992.00,47
2991.00,59
2990.00,74
2989.00,99
2988.00,118
2987.00,112
2986.00,105
2985.00,100
2984.00,97
2983.00,100
2982.00,102
2981.00,98
2980.00,93
2979.00,85
2978.00,80
2977.00,83
2976.00,90
2975.00,107
2974.00,120
2973.00,114
2972.00,105
2971.00,95
2970.00,83
2969.00,63
2968.00,44
2967.00,35
2966.00,28
2965.00,31
2964.00,34
2963.00,27
2962.00,19
2961.00,17
2960.00,24
2959.00,81
2958.00,143
2957.00,153
2956.00,161
2955.00,228
2954.00,296
2953.00,237
2952.00,156
2951.00,167
2950.00,200
2949.00,165
2948.00,107
2947.00,84
2946.00,74
2945.00,65
2944.00,58
2943.00,102
2942.00,175
2941.00,186
2940.00,158
2939.00,137
2938.00,123
2937.00,118
2936.00,121
2935.00,95
2934.00,36
2933.00,-3
2932.00,-12
2931.00,-8
2930.00,19
2929.00,48
2928.00,75
2927.00,100
2926.00,119
2925.00,139
2924.00,163
2923.00,182
2922.00,174
2921.00,161
2920.00,149
2919.00,138
2918.00,130
2917.00,121
2916.00,101
2915.00,77
2914.00,24
2913.00,-39
2912.00,-66
2911.00,-72
2910.00,-60
2909.00,-34
2908.00,-34
2907.00,-65
2906.00,-63
2905.00,-8
2904.00,51
2903.00,115
2902.00,162
2901.00,156
2900.00,146
2899.00,134
2898.00,119
2897.00,91
2896.00,65
2895.00,96
2894.00,140
2893.00,150
2892.00,146
2891.00,113
2890.00,61
2889.00,58
2888.00,99
2887.00,111
2886.00,82
2885.00,61
2884.00,57
2883.00,55
2882.00,61
2881.00,69
2880.00,89
2879.00,102
2878.00,46
2877.00,-22
2876.00,2
2875.00,59
2874.00,102
2873.00,138
2872.00,132
2871.00,84
2870.00,25
2869.00,-55
2868.00,-94
2867.00,-32
2866.00,32
2865.00,87
2864.00,136
2863.00,146
2862.00,146
2861.00,140
2860.00,131
2859.00,132
2858.00,139
2857.00,154
2856.00,175
2855.00,173
2854.00,124
2853.00,84
2852.00,79
2851.00,75
2850.00,62
2849.00,48
2848.00,35
2847.00,22
2846.00,19
2845.00,22
2844.00,27
2843.00,33
2842.00,33
2841.00,20
2840.00,7
2839.00,-2
2838.00,-11
2837.00,-22
2836.00,-34
2835.00,-47
2834.00,-60
2833.00,-69
2832.00,-75
2831.00,-65
2830.00,-29
2829.00,-1
2828.00,4
2827.00,4
2826.00,-8
2825.00,-22
2824.00,-33
2823.00,-42
2822.00,-48
2821.00,-51
2820.00,-60
2819.00,-75
2818.00,-88
2817.00,-93
2816.00,-97
2815.00,-95
2814.00,-93
2813.00,-87
2812.00,-80
2811.00,-80
2810.00,-84
2809.00,-87
2808.00,-88
2807.00,-83
2806.00,-59
2805.00,-33
2804.00,-5
2803.00,24
2802.00,52
2801.00,81
2800.00,93
2799.00,91
2798.00,80
2797.00,51
2796.00,27
2795.00,31
2794.00,37
2793.00,26
2792.00,9
2791.00,-2
2790.00,-10
2789.00,-20
2788.00,-34
2787.00,-46
2786.00,-46
2785.00,-44
2784.00,-29
2783.00,-10
2782.00,-8
2781.00,-17
2780.00,-26
2779.00,-33
2778.00,-38
2777.00,-33
2776.00,-27
2775.00,-33
2774.00,-43
2773.00,-63
2772.00,-89
2771.00,-99
2770.00,-84
2769.00,-72
2768.00,-78
2767.00,-83
2766.00,-59
2765.00,-26
2764.00,-15
2763.00,-21
2762.00,-29
2761.00,-40
2760.00,-49
2759.00,-45
2758.00,-38
2757.00,-42
2756.00,-50
2755.00,-59
2754.00,-69
2753.00,-80
2752.00,-99
2751.00,-116
2750.00,-116
2749.00,-112
2748.00,-100
2747.00,-84
2746.00,-66
2745.00,-45
2744.00,-27
2743.00,-24
2742.00,-23
2741.00,-26
2740.00,-30
2739.00,-16
2738.00,20
2737.00,50
2736.00,55
2735.00,58
2734.00,64
2733.00,72
2732.00,97
2731.00,138
2730.00,166
2729.00,161
2728.00,154
2727.00,146
2726.00,138
2725.00,130
2724.00,124
2723.00,101
2722.00,39
2721.00,-20
2720.00,-42
2719.00,-56
2718.00,-67
2717.00,-76
2716.00,-85
2715.00,-94
2714.00,-104
2713.00,-114
2712.00,-125
2711.00,-79
2710.00,3
2709.00,57
2708.00,53
2707.00,47
2706.00,40
2705.00,34
2704.00,36
2703.00,43
2702.00,48
2701.00,47
2700.00,45
2699.00,35
2698.00,25
2697.00,15
2696.00,4
2695.00,-4
2694.00,-6
2693.00,-8
2692.00,-19
2691.00,-32
2690.00,-41
2689.00,-45
2688.00,-54
2687.00,-78
2686.00,-102
2685.00,-106
2684.00,-103
2683.00,-104
2682.00,-110
2681.00,-119
2680.00,-135
2679.00,-150
2678.00,-100
2677.00,-18
2676.00,31
2675.00,21
2674.00,11
2673.00,3
2672.00,-4
2671.00,-9
2670.00,-13
2669.00,-16
2668.00,-18
2667.00,-20
2666.00,-10
2665.00,4
2664.00,10
2663.00,6
2662.00,6
2661.00,26
2660.00,49
2659.00,96
2658.00,158
2657.00,185
2656.00,119
2655.00,53
2654.00,-17
2653.00,-90
2652.00,-112
2651.00,-72
2650.00,-40
2649.00,-52
2648.00,-71
2647.00,-82
2646.00,-88
2645.00,-88
2644.00,-74
2643.00,-59
2642.00,-41
2641.00,-22
2640.00,-10
2639.00,-6
2638.00,-1
2637.00,14
2636.00,30
2635.00,34
2634.00,29
2633.00,29
2632.00,52
2631.00,75
2630.00,87
2629.00,93
2628.00,81
2627.00,27
2626.00,-22
2625.00,-1
2624.00,40
2623.00,61
2622.00,55
2621.00,51
2620.00,54
2619.00,60
2618.00,41
2617.00,1
2616.00,-26
2615.00,-3
2614.00,26
2613.00,29
2612.00,18
2611.00,9
2610.00,2
2609.00,-2
2608.00,15
2607.00,42
2606.00,59
2605.00,55
2604.00,50
2603.00,52
2602.00,56
2601.00,55
2600.00,46
2599.00,37
2598.00,32
2597.00,27
2596.00,26
2595.00,30
2594.00,36
2593.00,57
2592.00,81
2591.00,90
2590.00,82
2589.00,74
2588.00,69
2587.00,64
2586.00,54
2585.00,38
2584.00,22
2583.00,5
2582.00,-11
2581.00,-16
2580.00,-11
2579.00,-8
2578.00,-10
2577.00,-14
2576.00,-20
2575.00,-28
2574.00,-28
2573.00,8
2572.00,47
2571.00,66
2570.00,71
2569.00,72
2568.00,58
2567.00,42
2566.00,35
2565.00,32
2564.00,29
2563.00,19
2562.00,9
2561.00,-1
2560.00,-12
2559.00,-23
2558.00,-36
2557.00,-49
2556.00,-54
2555.00,-52
2554.00,-47
2553.00,-29
2552.00,-10
2551.00,23
2550.00,71
2549.00,111
2548.00,110
2547.00,103
2546.00,104
2545.00,112
2544.00,119
2543.00,115
2542.00,108
2541.00,102
2540.00,97
2539.00,92
2538.00,87
2537.00,82
2536.00,78
2535.00,75
2534.00,72
2533.00,69
2532.00,68
2531.00,65
2530.00,59
2529.00,54
2528.00,60
2527.00,72
2526.00,80
2525.00,79
2524.00,77
2523.00,74
2522.00,69
2521.00,63
2520.00,52
2519.00,41
2518.00,58
2517.00,101
2516.00,135
2515.00,103
2514.00,55
2513.00,39
2512.00,67
2511.00,94
2510.00,91
2509.00,80
2508.00,70
2507.00,65
2506.00,59
2505.00,50
2504.00,40
2503.00,34
2502.00,45
2501.00,58
2500.00,68
2499.00,75
2498.00,80
2497.00,76
2496.00,69
2495.00,68
2494.00,74
2493.00,80
2492.00,78
2491.00,72
2490.00,67
2489.00,63
2488.00,58
2487.00,52
2486.00,46
2485.00,41
2484.00,50
2483.00,60
2482.00,61
2481.00,48
2480.00,37
2479.00,42
2478.00,52
2477.00,62
2476.00,68
2475.00,75
2474.00,80
2473.00,85
2472.00,90
2471.00,100
2470.00,111
2469.00,122
2468.00,135
2467.00,147
2466.00,149
2465.00,146
2464.00,142
2463.00,136
2462.00,129
2461.00,122
2460.00,115
2459.00,108
2458.00,107
2457.00,108
2456.00,105
2455.00,96
2454.00,87
2453.00,94
2452.00,113
2451.00,129
2450.00,126
2449.00,119
2448.00,114
2447.00,109
2446.00,105
2445.00,100
2444.00,96
2443.00,91
2442.00,85
2441.00,80
2440.00,77
2439.00,79
2438.00,80
2437.00,82
2436.00,83
2435.00,84
2434.00,78
