Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,205
3199.00,162
3198.00,24
3197.00,-14
3196.00,28
3195.00,37
3194.00,37
3193.00,35
3192.00,14
3191.00,-30
3190.00,-16
3189.00,22
3188.00,27
3187.00,37
3186.00,75
3185.00,90
3184.00,83
3183.00,106
3182.00,138
3181.00,151
3180.00,146
3179.00,107
3178.00,67
3177.00,28
3176.00,17
3175.00,16
3174.00,16
3173.00,16
3172.00,16
3171.00,36
3170.00,70
3169.00,77
3168.00,81
3167.00,113
3166.00,138
3165.00,137
3164.00,134
3163.00,130
3162.00,100
3161.00,57
3160.00,-8
3159.00,-58
3158.00,-61
3157.00,-47
3156.00,-15
3155.00,-27
3154.00,-60
3153.00,-93
3152.00,-113
3151.00,-85
3150.00,-134
3149.00,-320
3148.00,-314
3147.00,-141
3146.00,199
3145.00,605
3144.00,1059
3143.00,1284
3142.00,862
3141.00,585
3140.00,577
3139.00,495
3138.00,370
3137.00,250
3136.00,135
3135.00,21
3134.00,-49
3133.00,1
3132.00,21
3131.00,-8
3130.00,-19
3129.00,-22
3128.00,-63
3127.00,-101
3126.00,-38
3125.00,30
3124.00,58
3123.00,93
3122.00,144
3121.00,126
3120.00,49
3119.00,43
3118.00,63
3117.00,47
3116.00,26
3115.00,23
3114.00,23
3113.00,21
3112.00,21
3111.00,22
3110.00,13
3109.00,-3
3108.00,-12
3107.00,-19
3106.00,-43
3105.00,-59
3104.00,-19
3103.00,15
3102.00,17
3101.00,16
3100.00,16
3099.00,39
3098.00,82
3097.00,111
3096.00,129
3095.00,100
3094.00,72
3093.00,159
3092.00,246
3091.00,254
3090.00,234
3089.00,170
3088.00,105
3087.00,40
3086.00,20
3085.00,41
3084.00,48
3083.00,48
3082.00,47
3081.00,47
3080.00,46
3079.00,54
3078.00,106
3077.00,151
3076.00,155
3075.00,149
3074.00,128
3073.00,100
3072.00,61
3071.00,62
3070.00,100
3069.00,125
3068.00,141
3067.00,131
3066.00,112
3065.00,107
3064.00,108
3063.00,123
3062.00,138
3061.00,140
3060.00,140
3059.00,139
3058.00,138
3057.00,138
3056.00,143
3055.00,158
3054.00,150
3053.00,115
3052.00,89
3051.00,71
3050.00,64
3049.00,62
3048.00,37
3047.00,6
3046.00,23
3045.00,52
3044.00,45
3043.00,37
3042.00,90
3041.00,143
3040.00,134
3039.00,125
3038.00,152
3037.00,175
3036.00,176
3035.00,175
3034.00,174
3033.00,173
3032.00,172
3031.00,171
3030.00,170
3029.00,182
3028.00,212
3027.00,195
3026.00,134
3025.00,137
3024.00,197
3023.00,327
3022.00,497
3021.00,538
3020.00,505
3019.00,425
3018.00,329
3017.00,402
3016.00,526
3015.00,431
3014.00,267
3013.00,185
3012.00,129
3011.00,83
3010.00,48
3009.00,64
3008.00,89
3007.00,104
3006.00,120
3005.00,155
3004.00,188
3003.00,192
3002.00,191
3001.00,190
3000.00,188
2999.00,187
2998.00,182
2997.00,157
2996.00,144
2995.00,187
2994.00,214
2993.00,147
2992.00,95
2991.00,133
2990.00,174
2989.00,187
2988.00,193
2987.00,182
2986.00,169
2985.00,157
2984.00,149
2983.00,158
2982.00,165
2981.00,154
2980.00,144
2979.00,143
2978.00,144
2977.00,154
2976.00,174
2975.00,228
2974.00,268
2973.00,239
2972.00,210
2971.00,205
2970.00,204
2969.00,202
2968.00,197
2967.00,176
2966.00,156
2965.00,153
2964.00,153
2963.00,152
2962.00,152
2961.00,160
2960.00,168
2959.00,168
2958.00,169
2957.00,176
2956.00,185
2955.00,194
2954.00,203
2953.00,212
2952.00,220
2951.00,212
2950.00,201
2949.00,197
2948.00,196
2947.00,194
2946.00,193
2945.00,192
2944.00,191
2943.00,190
2942.00,189
2941.00,188
2940.00,187
2939.00,197
2938.00,213
2937.00,230
2936.00,249
2935.00,236
2934.00,187
2933.00,158
2932.00,156
2931.00,155
2930.00,154
2929.00,156
2928.00,163
2927.00,169
2926.00,168
2925.00,165
2924.00,156
2923.00,147
2922.00,145
2921.00,143
2920.00,142
2919.00,140
2918.00,139
2917.00,140
2916.00,152
2915.00,167
2914.00,153
2913.00,128
2912.00,134
2911.00,159
2910.00,183
2909.00,207
2908.00,211
2907.00,192
2906.00,177
2905.00,167
2904.00,153
2903.00,128
2902.00,109
2901.00,107
2900.00,104
2899.00,96
2898.00,90
2897.00,101
2896.00,115
2895.00,117
2894.00,117
2893.00,139
2892.00,169
2891.00,184
2890.00,191
2889.00,193
2888.00,192
2887.00,190
2886.00,189
2885.00,190
2884.00,196
2883.00,200
2882.00,199
2881.00,192
2880.00,151
2879.00,111
2878.00,103
2877.00,103
2876.00,117
2875.00,136
2874.00,138
2873.00,131
2872.00,116
2871.00,95
2870.00,88
2869.00,108
2868.00,122
2867.00,121
2866.00,123
2865.00,134
2864.00,146
2863.00,147
2862.00,147
2861.00,166
2860.00,190
2859.00,198
2858.00,197
2857.00,193
2856.00,185
2855.00,181
2854.00,187
2853.00,194
2852.00,205
2851.00,214
2850.00,209
2849.00,201
2848.00,194
2847.00,187
2846.00,191
2845.00,202
2844.00,201
2843.00,187
2842.00,175
2841.00,167
2840.00,165
2839.00,180
2838.00,195
2837.00,196
2836.00,193
2835.00,178
2834.00,160
2833.00,155
2832.00,160
2831.00,163
2830.00,162
2829.00,161
2828.00,160
2827.00,158
2826.00,152
2825.00,146
2824.00,161
2823.00,182
2822.00,178
2821.00,160
2820.00,147
2819.00,140
2818.00,141
2817.00,161
2816.00,179
2815.00,180
2814.00,178
2813.00,169
2812.00,158
2811.00,149
2810.00,142
2809.00,140
2808.00,144
2807.00,147
2806.00,145
2805.00,143
2804.00,138
2803.00,131
2802.00,129
2801.00,128
2800.00,130
2799.00,134
2798.00,140
2797.00,154
2796.00,165
2795.00,161
2794.00,156
2793.00,173
2792.00,197
2791.00,206
2790.00,205
2789.00,201
2788.00,195
2787.00,193
2786.00,209
2785.00,225
2784.00,228
2783.00,227
2782.00,223
2781.00,218
2780.00,214
2779.00,212
2778.00,212
2777.00,215
2776.00,217
2775.00,205
2774.00,189
2773.00,182
2772.00,180
2771.00,180
2770.00,183
2769.00,183
2768.00,170
2767.00,156
2766.00,151
2765.00,150
2764.00,149
2763.00,148
2762.00,148
2761.00,152
2760.00,153
2759.00,145
2758.00,136
2757.00,138
2756.00,145
2755.00,149
2754.00,147
2753.00,147
2752.00,150
2751.00,154
2750.00,167
2749.00,182
2748.00,195
2747.00,206
2746.00,211
2745.00,206
2744.00,204
2743.00,220
2742.00,238
2741.00,232
2740.00,215
2739.00,206
2738.00,209
2737.00,209
2736.00,204
2735.00,197
2734.00,177
2733.00,151
2732.00,143
2731.00,150
2730.00,154
2729.00,154
2728.00,153
2727.00,151
2726.00,150
2725.00,166
2724.00,195
2723.00,213
2722.00,205
2721.00,197
2720.00,201
2719.00,207
2718.00,209
2717.00,208
2716.00,204
2715.00,195
2714.00,186
2713.00,177
2712.00,168
2711.00,164
2710.00,162
2709.00,165
2708.00,178
2707.00,190
2706.00,191
2705.00,190
2704.00,191
2703.00,193
2702.00,198
2701.00,207
2700.00,216
2699.00,216
2698.00,214
2697.00,212
2696.00,210
2695.00,206
2694.00,197
2693.00,189
2692.00,187
2691.00,186
2690.00,185
2689.00,184
2688.00,183
2687.00,181
2686.00,179
2685.00,175
2684.00,171
2683.00,174
2682.00,185
2681.00,195
2680.00,195
2679.00,194
2678.00,190
2677.00,186
2676.00,182
2675.00,177
2674.00,173
2673.00,171
2672.00,170
2671.00,166
2670.00,162
2669.00,159
2668.00,160
2667.00,162
2666.00,164
2665.00,166
2664.00,168
2663.00,170
2662.00,173
2661.00,180
2660.00,189
2659.00,203
2658.00,220
2657.00,229
2656.00,214
2655.00,199
2654.00,182
2653.00,165
2652.00,156
2651.00,158
2650.00,161
2649.00,168
2648.00,174
2647.00,178
2646.00,180
2645.00,184
2644.00,194
2643.00,205
2642.00,215
2641.00,225
2640.00,226
2639.00,212
2638.00,200
2637.00,194
2636.00,189
