Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,149
3199.00,127
3198.00,125
3197.00,151
3196.00,193
3195.00,202
3194.00,202
3193.00,200
3192.00,198
3191.00,197
3190.00,226
3189.00,268
3188.00,310
3187.00,339
3186.00,336
3185.00,352
3184.00,382
3183.00,387
3182.00,383
3181.00,389
3180.00,370
3179.00,290
3178.00,253
3177.00,251
3176.00,250
3175.00,248
3174.00,247
3173.00,246
3172.00,245
3171.00,265
3170.00,295
3169.00,245
3168.00,180
3167.00,171
3166.00,170
3165.00,169
3164.00,168
3163.00,165
3162.00,138
3161.00,101
3160.00,66
3159.00,41
3158.00,39
3157.00,24
3156.00,-11
3155.00,-67
3154.00,-129
3153.00,-166
3152.00,-190
3151.00,-191
3150.00,-190
3149.00,-189
3148.00,10
3147.00,349
3146.00,479
3145.00,582
3144.00,966
3143.00,1176
3142.00,783
3141.00,539
3140.00,561
3139.00,457
3138.00,284
3137.00,196
3136.00,139
3135.00,82
3134.00,62
3133.00,140
3132.00,188
3131.00,187
3130.00,186
3129.00,185
3128.00,185
3127.00,187
3126.00,209
3125.00,228
3124.00,228
3123.00,227
3122.00,226
3121.00,197
3120.00,145
3119.00,129
3118.00,126
3117.00,105
3116.00,83
3115.00,81
3114.00,80
3113.00,80
3112.00,80
3111.00,80
3110.00,81
3109.00,81
3108.00,62
3107.00,34
3106.00,-10
3105.00,-49
3104.00,-53
3103.00,-52
3102.00,-52
3101.00,-34
3100.00,11
3099.00,33
3098.00,34
3097.00,63
3096.00,103
3095.00,97
3094.00,84
3093.00,136
3092.00,189
3091.00,193
3090.00,174
3089.00,111
3088.00,72
3087.00,71
3086.00,71
3085.00,71
3084.00,70
3083.00,71
3082.00,86
3081.00,105
3080.00,107
3079.00,104
3078.00,85
3077.00,65
3076.00,45
3075.00,25
3074.00,5
3073.00,-6
3072.00,-6
3071.00,14
3070.00,53
3069.00,79
3068.00,96
3067.00,87
3066.00,69
3065.00,65
3064.00,61
3063.00,29
3062.00,-2
3061.00,-5
3060.00,3
3059.00,36
3058.00,62
3057.00,63
3056.00,69
3055.00,86
3054.00,103
3053.00,120
3052.00,109
3051.00,74
3050.00,61
3049.00,61
3048.00,60
3047.00,60
3046.00,60
3045.00,58
3044.00,45
3043.00,32
3042.00,43
3041.00,57
3040.00,58
3039.00,55
3038.00,40
3037.00,32
3036.00,46
3035.00,57
3034.00,57
3033.00,57
3032.00,57
3031.00,45
3030.00,14
3029.00,10
3028.00,41
3027.00,48
3026.00,33
3025.00,34
3024.00,51
3023.00,218
3022.00,473
3021.00,488
3020.00,373
3019.00,325
3018.00,314
3017.00,433
3016.00,586
3015.00,518
3014.00,381
3013.00,305
3012.00,246
3011.00,178
3010.00,118
3009.00,129
3008.00,152
3007.00,144
3006.00,132
3005.00,129
3004.00,127
3003.00,115
3002.00,103
3001.00,101
3000.00,101
2999.00,100
2998.00,98
2997.00,85
2996.00,79
2995.00,101
2994.00,116
2993.00,95
2992.00,76
2991.00,85
2990.00,97
2989.00,109
2988.00,118
2987.00,118
2986.00,118
2985.00,118
2984.00,117
2983.00,117
2982.00,116
2981.00,116
2980.00,114
2979.00,102
2978.00,90
2977.00,78
2976.00,73
2975.00,93
2974.00,114
2973.00,126
2972.00,133
2971.00,122
2970.00,111
2969.00,99
2968.00,91
2967.00,100
2966.00,109
2965.00,109
2964.00,109
2963.00,108
2962.00,109
2961.00,118
2960.00,127
2959.00,128
2958.00,127
2957.00,127
2956.00,127
2955.00,135
2954.00,144
2953.00,145
2952.00,143
2951.00,118
2950.00,89
2949.00,89
2948.00,98
2947.00,100
2946.00,100
2945.00,99
2944.00,99
2943.00,105
2942.00,115
2941.00,118
2940.00,118
2939.00,117
2938.00,116
2937.00,120
2936.00,129
2935.00,112
2934.00,65
2933.00,37
2932.00,37
2931.00,40
2930.00,49
2929.00,60
2928.00,78
2927.00,91
2926.00,91
2925.00,91
2924.00,91
2923.00,90
2922.00,90
2921.00,88
2920.00,80
2919.00,72
2918.00,70
2917.00,69
2916.00,56
2915.00,38
2914.00,9
2913.00,-24
2912.00,-37
2911.00,-36
2910.00,-8
2909.00,41
2908.00,64
2907.00,55
2906.00,50
2905.00,49
2904.00,49
2903.00,49
2902.00,49
2901.00,48
2900.00,47
2899.00,40
2898.00,34
2897.00,46
2896.00,60
2895.00,63
2894.00,63
2893.00,63
2892.00,63
2891.00,91
2890.00,137
2889.00,158
2888.00,157
2887.00,133
2886.00,73
2885.00,40
2884.00,67
2883.00,106
2882.00,175
2881.00,217
2880.00,93
2879.00,-35
2878.00,-18
2877.00,32
2876.00,71
2875.00,105
2874.00,109
2873.00,95
2872.00,80
2871.00,66
2870.00,60
2869.00,66
2868.00,67
2867.00,54
2866.00,45
2865.00,56
2864.00,68
2863.00,70
2862.00,70
2861.00,74
2860.00,80
2859.00,78
2858.00,72
2857.00,68
2856.00,68
2855.00,67
2854.00,67
2853.00,67
2852.00,67
2851.00,66
2850.00,60
2849.00,53
2848.00,47
2847.00,40
2846.00,42
2845.00,48
2844.00,48
2843.00,41
2842.00,35
2841.00,29
2840.00,24
2839.00,23
2838.00,25
2837.00,35
2836.00,45
2835.00,39
