Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,12
3199.00,26
3198.00,71
3197.00,119
3196.00,165
3195.00,175
3194.00,175
3193.00,175
3192.00,139
3191.00,52
3190.00,24
3189.00,25
3188.00,26
3187.00,28
3186.00,31
3185.00,57
3184.00,101
3183.00,115
3182.00,116
3181.00,112
3180.00,95
3179.00,55
3178.00,36
3177.00,36
3176.00,37
3175.00,38
3174.00,39
3173.00,39
3172.00,39
3171.00,83
3170.00,156
3169.00,146
3168.00,120
3167.00,149
3166.00,164
3165.00,128
3164.00,112
3163.00,112
3162.00,89
3161.00,51
3160.00,-15
3159.00,-85
3158.00,-150
3157.00,-153
3156.00,-83
3155.00,-14
3154.00,45
3153.00,30
3152.00,-20
3151.00,-142
3150.00,-210
3149.00,-180
3148.00,-129
3147.00,-63
3146.00,0
3145.00,119
3144.00,588
3143.00,871
3142.00,484
3141.00,242
3140.00,270
3139.00,317
3138.00,370
3137.00,382
3136.00,354
3135.00,177
3134.00,27
3133.00,20
3132.00,21
3131.00,22
3130.00,7
3129.00,-19
3128.00,-26
3127.00,-26
3126.00,-25
3125.00,-16
3124.00,10
3123.00,46
3122.00,98
3121.00,122
3120.00,123
3119.00,141
3118.00,164
3117.00,168
3116.00,167
3115.00,167
3114.00,160
3113.00,136
3112.00,131
3111.00,154
3110.00,147
3109.00,117
3108.00,111
3107.00,112
3106.00,95
3105.00,78
3104.00,76
3103.00,76
3102.00,77
3101.00,85
3100.00,108
3099.00,107
3098.00,84
3097.00,48
3096.00,10
3095.00,50
3094.00,116
3093.00,181
3092.00,234
3091.00,238
3090.00,219
3089.00,156
3088.00,117
3087.00,117
3086.00,106
3085.00,85
3084.00,77
3083.00,77
3082.00,77
3081.00,77
3080.00,77
3079.00,74
3078.00,57
3077.00,46
3076.00,63
3075.00,70
3074.00,51
3073.00,47
3072.00,67
3071.00,96
3070.00,134
3069.00,160
3068.00,177
3067.00,155
3066.00,119
3065.00,111
3064.00,107
3063.00,76
3062.00,45
3061.00,41
3060.00,40
3059.00,40
3058.00,46
3057.00,63
3056.00,80
3055.00,98
3054.00,140
3053.00,208
3052.00,240
3051.00,239
3050.00,248
3049.00,264
3048.00,268
3047.00,267
3046.00,266
3045.00,257
3044.00,176
3043.00,89
3042.00,89
3041.00,98
3040.00,71
3039.00,50
3038.00,78
3037.00,106
3036.00,122
3035.00,132
3034.00,132
3033.00,127
3032.00,111
3031.00,107
3030.00,121
3029.00,143
3028.00,173
3027.00,187
3026.00,187
3025.00,194
3024.00,209
3023.00,322
3022.00,491
3021.00,466
3020.00,337
3019.00,294
3018.00,293
3017.00,313
3016.00,332
3015.00,232
3014.00,102
3013.00,103
3012.00,141
3011.00,149
3010.00,147
3009.00,135
3008.00,124
3007.00,132
3006.00,144
3005.00,145
3004.00,144
3003.00,144
3002.00,143
3001.00,143
3000.00,142
2999.00,141
2998.00,137
2997.00,113
2996.00,96
2995.00,116
2994.00,132
2993.00,111
2992.00,92
2991.00,101
2990.00,111
2989.00,112
2988.00,111
2987.00,111
2986.00,112
2985.00,123
2984.00,134
2983.00,145
2982.00,154
2981.00,154
2980.00,151
2979.00,140
2978.00,130
2977.00,128
2976.00,132
2975.00,153
2974.00,167
2973.00,147
2972.00,131
2971.00,150
2970.00,168
2969.00,169
2968.00,168
2967.00,167
2966.00,165
2965.00,154
2964.00,144
2963.00,142
2962.00,142
2961.00,141
2960.00,140
2959.00,140
2958.00,137
2957.00,118
2956.00,100
2955.00,104
2954.00,113
2953.00,115
2952.00,112
2951.00,88
2950.00,59
2949.00,51
2948.00,52
2947.00,73
2946.00,102
2945.00,110
2944.00,110
2943.00,116
2942.00,125
2941.00,128
2940.00,127
2939.00,127
2938.00,126
2937.00,130
2936.00,139
2935.00,122
2934.00,74
2933.00,47
2932.00,46
2931.00,49
2930.00,58
2929.00,69
2928.00,87
2927.00,100
2926.00,100
2925.00,103
2924.00,119
2923.00,134
2922.00,144
2921.00,151
2920.00,151
2919.00,150
2918.00,149
2917.00,149
2916.00,148
2915.00,146
2914.00,115
2913.00,73
2912.00,57
2911.00,57
2910.00,71
2909.00,95
2908.00,100
2907.00,83
2906.00,70
2905.00,61
2904.00,52
2903.00,44
2902.00,38
2901.00,37
2900.00,37
2899.00,36
2898.00,37
2897.00,43
2896.00,50
2895.00,45
2894.00,37
2893.00,46
2892.00,60
2891.00,75
2890.00,90
2889.00,97
2888.00,96
2887.00,92
2886.00,85
2885.00,81
2884.00,88
2883.00,90
2882.00,76
2881.00,66
2880.00,83
2879.00,103
2878.00,106
2877.00,105
2876.00,104
2875.00,104
2874.00,103
2873.00,103
2872.00,102
2871.00,101
2870.00,101
2869.00,100
2868.00,98
2867.00,91
2866.00,82
2865.00,69
2864.00,56
2863.00,53
2862.00,53
2861.00,58
2860.00,64
2859.00,66
2858.00,65
2857.00,71
2856.00,84
2855.00,94
2854.00,100
2853.00,104
2852.00,104
2851.00,104
2850.00,109
2849.00,113
2848.00,99
2847.00,80
2846.00,89
2845.00,113
2844.00,117
2843.00,97
2842.00,84
2841.00,84
2840.00,82
2839.00,76
2838.00,69
2837.00,63
2836.00,56
2835.00,45
2834.00,33
2833.00,35
2832.00,46
2831.00,57
2830.00,68
2829.00,76
2828.00,76
2827.00,75
2826.00,69
2825.00,65
2824.00,76
2823.00,92
2822.00,98
2821.00,97
2820.00,89
2819.00,72
2818.00,59
2817.00,58
2816.00,59
2815.00,68
2814.00,78
2813.00,76
2812.00,70
2811.00,61
2810.00,50
2809.00,45
2808.00,50
2807.00,54
2806.00,59
2805.00,64
2804.00,69
2803.00,73
2802.00,74
2801.00,73
2800.00,75
2799.00,80
2798.00,83
2797.00,82
2796.00,83
2795.00,92
2794.00,101
2793.00,106
2792.00,111
2791.00,100
2790.00,80
2789.00,72
2788.00,86
2787.00,98
2786.00,103
2785.00,106
2784.00,95
2783.00,80
2782.00,71
2781.00,66
2780.00,62
2779.00,62
2778.00,63
2777.00,71
2776.00,79
2775.00,72
2774.00,63
2773.00,67
2772.00,80
2771.00,93
2770.00,106
2769.00,116
2768.00,112
2767.00,106
2766.00,94
2765.00,80
2764.00,81
2763.00,94
2762.00,96
2761.00,74
2760.00,53
2759.00,38
2758.00,25
2757.00,33
2756.00,50
2755.00,59
2754.00,59
2753.00,54
2752.00,37
2751.00,21
