Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,1462
3199.00,1463
3198.00,1698
3197.00,1691
3196.00,1518
3195.00,1827
3194.00,2174
3193.00,2124
3192.00,1973
3191.00,1736
3190.00,1566
3189.00,1429
3188.00,1264
3187.00,1054
3186.00,744
3185.00,308
3184.00,-200
3183.00,-361
3182.00,-334
3181.00,34
3180.00,364
3179.00,460
3178.00,525
3177.00,560
3176.00,452
3175.00,345
3174.00,443
3173.00,647
3172.00,1012
3171.00,1531
3170.00,2122
3169.00,2157
3168.00,2020
3167.00,1919
3166.00,1879
3165.00,1957
3164.00,1744
3163.00,1298
3162.00,923
3161.00,638
3160.00,755
3159.00,918
3158.00,1023
3157.00,1098
3156.00,1139
3155.00,1100
3154.00,1034
3153.00,1065
3152.00,1074
3151.00,917
3150.00,814
3149.00,821
3148.00,1058
3147.00,1444
3146.00,1375
3145.00,1229
3144.00,1578
3143.00,1773
3142.00,1305
3141.00,940
3140.00,786
3139.00,445
3138.00,12
3137.00,-167
3136.00,-253
3135.00,-301
3134.00,-217
3133.00,200
3132.00,434
3131.00,392
3130.00,474
3129.00,630
3128.00,706
3127.00,731
3126.00,615
3125.00,531
3124.00,616
3123.00,731
3122.00,876
3121.00,866
3120.00,717
3119.00,593
3118.00,491
3117.00,503
3116.00,524
3115.00,458
3114.00,403
3113.00,400
3112.00,429
3111.00,504
3110.00,1124
3109.00,2126
3108.00,1947
3107.00,1326
3106.00,876
3105.00,517
3104.00,350
3103.00,221
3102.00,133
3101.00,53
3100.00,-17
3099.00,-120
3098.00,-250
3097.00,-260
3096.00,-176
3095.00,313
3094.00,862
3093.00,919
3092.00,870
3091.00,790
3090.00,747
3089.00,801
3088.00,936
3087.00,1186
3086.00,1312
3085.00,1327
3084.00,1315
3083.00,1299
3082.00,1483
3081.00,1700
3080.00,1653
3079.00,1535
3078.00,1357
3077.00,1215
3076.00,1208
3075.00,1194
3074.00,1147
3073.00,1096
3072.00,1041
3071.00,992
3070.00,952
3069.00,1008
3068.00,1111
3067.00,1038
3066.00,902
3065.00,864
3064.00,839
3063.00,734
3062.00,635
3061.00,624
3060.00,607
3059.00,531
3058.00,470
3057.00,456
3056.00,581
3055.00,951
3054.00,1208
3053.00,1326
3052.00,1382
3051.00,1383
3050.00,1289
3049.00,1136
3048.00,1008
3047.00,895
3046.00,792
3045.00,697
3044.00,615
3043.00,541
3042.00,489
3041.00,441
3040.00,381
3039.00,303
3038.00,151
3037.00,102
3036.00,382
3035.00,647
3034.00,827
3033.00,983
3032.00,1101
3031.00,1154
3030.00,1108
3029.00,1063
3028.00,1024
3027.00,926
3026.00,771
3025.00,647
3024.00,550
3023.00,773
3022.00,1188
3021.00,1199
3020.00,991
3019.00,904
3018.00,883
3017.00,971
3016.00,1098
3015.00,1176
3014.00,1236
3013.00,1272
3012.00,1295
3011.00,1280
3010.00,1247
3009.00,1145
3008.00,1024
3007.00,873
3006.00,742
3005.00,785
3004.00,839
3003.00,761
3002.00,697
3001.00,823
3000.00,935
2999.00,870
2998.00,817
2997.00,916
2996.00,1006
2995.00,987
2994.00,940
2993.00,832
2992.00,780
2991.00,976
2990.00,1176
2989.00,1299
2988.00,1374
2987.00,1298
2986.00,1243
2985.00,1326
2984.00,1383
2983.00,1300
2982.00,1217
2981.00,1183
2980.00,1144
2979.00,1069
2978.00,998
2977.00,960
2976.00,992
2975.00,1286
2974.00,1549
2973.00,1586
2972.00,1574
2971.00,1465
2970.00,1356
2969.00,1288
2968.00,1221
2967.00,1130
2966.00,1066
2965.00,1142
2964.00,1229
2963.00,1289
2962.00,1376
2961.00,1627
2960.00,1864
2959.00,1898
2958.00,1886
2957.00,1787
2956.00,1669
2955.00,1541
2954.00,1417
2953.00,1350
2952.00,1293
2951.00,1201
2950.00,1113
2949.00,1256
2948.00,1472
2947.00,1547
2946.00,1566
2945.00,1583
2944.00,1597
2943.00,1564
2942.00,1507
2941.00,1563
2940.00,1691
2939.00,1658
2938.00,1513
2937.00,1456
2936.00,1485
2935.00,1410
2934.00,1214
2933.00,1098
2932.00,1092
2931.00,1057
2930.00,966
2929.00,901
2928.00,892
2927.00,966
2926.00,1288
2925.00,1541
2924.00,1489
2923.00,1402
2922.00,1273
2921.00,1150
2920.00,1088
2919.00,1046
2918.00,1082
2917.00,1137
2916.00,1182
2915.00,1222
2914.00,1240
2913.00,1246
2912.00,1253
2911.00,1261
2910.00,1276
2909.00,1295
2908.00,1278
2907.00,1219
2906.00,1232
2905.00,1359
2904.00,1424
2903.00,1344
2902.00,1279
2901.00,1274
2900.00,1253
2899.00,1131
2898.00,1013
2897.00,1006
2896.00,1016
2895.00,994
2894.00,972
2893.00,1161
2892.00,1431
2891.00,1588
2890.00,1677
2889.00,1641
2888.00,1497
2887.00,1395
2886.00,1354
2885.00,1382
2884.00,1555
2883.00,1671
2882.00,1586
2881.00,1481
2880.00,1355
2879.00,1238
2878.00,1192
2877.00,1159
2876.00,1060
2875.00,941
2874.00,1046
2873.00,1285
2872.00,1436
2871.00,1495
