Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,180
3199.00,194
3198.00,245
3197.00,286
3196.00,316
3195.00,322
3194.00,320
3193.00,308
3192.00,296
3191.00,286
3190.00,279
3189.00,277
3188.00,306
3187.00,327
3186.00,311
3185.00,281
3184.00,244
3183.00,219
3182.00,197
3181.00,163
3180.00,114
3179.00,39
3178.00,5
3177.00,8
3176.00,65
3175.00,126
3174.00,133
3173.00,133
3172.00,133
3171.00,148
3170.00,172
3169.00,175
3168.00,159
3167.00,89
3166.00,33
3165.00,28
3164.00,21
3163.00,15
3162.00,103
3161.00,192
3160.00,62
3159.00,-61
3158.00,-74
3157.00,-33
3156.00,60
3155.00,23
3154.00,-73
3153.00,-121
3152.00,-152
3151.00,-158
3150.00,-170
3149.00,-196
3148.00,-118
3147.00,38
3146.00,167
3145.00,345
3144.00,897
3143.00,1242
3142.00,855
3141.00,594
3140.00,582
3139.00,475
3138.00,312
3137.00,159
3136.00,35
3135.00,21
3134.00,30
3133.00,57
3132.00,70
3131.00,62
3130.00,60
3129.00,58
3128.00,-3
3127.00,-73
3126.00,-87
3125.00,-92
3124.00,-94
3123.00,-37
3122.00,117
3121.00,189
3120.00,190
3119.00,259
3118.00,339
3117.00,254
3116.00,169
3115.00,272
3114.00,359
3113.00,355
3112.00,284
3111.00,122
3110.00,63
3109.00,82
3108.00,11
3107.00,-86
3106.00,-140
3105.00,-177
3104.00,-182
3103.00,-183
3102.00,-183
3101.00,-183
3100.00,-182
3099.00,-159
3098.00,-115
3097.00,-72
3096.00,-32
3095.00,-37
3094.00,-45
3093.00,26
3092.00,97
3091.00,103
3090.00,91
3089.00,48
3088.00,29
3087.00,48
3086.00,57
3085.00,57
3084.00,58
3083.00,60
3082.00,59
3081.00,63
3080.00,111
3079.00,158
3078.00,143
3077.00,129
3076.00,151
3075.00,205
3074.00,319
3073.00,362
3072.00,304
3071.00,295
3070.00,331
3069.00,317
3068.00,272
3067.00,163
3066.00,38
3065.00,11
3064.00,7
3063.00,-24
3062.00,-37
3061.00,61
3060.00,149
3059.00,154
3058.00,153
3057.00,155
3056.00,161
3055.00,173
3054.00,156
3053.00,104
3052.00,71
3051.00,56
3050.00,91
3049.00,155
3048.00,185
3047.00,199
3046.00,202
3045.00,200
3044.00,187
3043.00,177
3042.00,201
3041.00,225
3040.00,212
3039.00,195
3038.00,175
3037.00,172
3036.00,217
3035.00,251
3034.00,252
3033.00,246
3032.00,231
3031.00,228
3030.00,241
3029.00,269
3028.00,315
3027.00,321
3026.00,287
3025.00,294
3024.00,338
3023.00,480
3022.00,678
3021.00,664
3020.00,533
3019.00,421
3018.00,328
3017.00,474
3016.00,691
3015.00,608
3014.00,430
3013.00,355
3012.00,311
3011.00,267
3010.00,232
3009.00,249
3008.00,275
3007.00,279
3006.00,278
3005.00,276
3004.00,271
3003.00,247
3002.00,226
3001.00,233
3000.00,241
2999.00,230
2998.00,215
2997.00,189
2996.00,178
2995.00,233
2994.00,284
2993.00,287
2992.00,288
2991.00,296
2990.00,310
2989.00,343
2988.00,375
2987.00,399
2986.00,410
2985.00,380
2984.00,352
2983.00,349
2982.00,348
2981.00,349
2980.00,345
2979.00,323
2978.00,304
2977.00,302
2976.00,302
2975.00,303
2974.00,304
2973.00,303
2972.00,306
2971.00,325
2970.00,348
2969.00,379
2968.00,405
2967.00,407
2966.00,407
2965.00,417
2964.00,426
2963.00,426
2962.00,425
2961.00,432
2960.00,439
2959.00,449
2958.00,456
2957.00,447
2956.00,436
2955.00,440
2954.00,446
2953.00,447
2952.00,444
2951.00,417
2950.00,386
2949.00,376
2948.00,375
2947.00,373
2946.00,371
2945.00,370
2944.00,369
2943.00,369
2942.00,369
2941.00,369
2940.00,368
2939.00,370
2938.00,376
2937.00,393
2936.00,421
2935.00,414
2934.00,363
2933.00,333
2932.00,332
2931.00,333
2930.00,341
2929.00,357
2928.00,391
2927.00,423
2926.00,450
2925.00,473
2924.00,489
2923.00,503
2922.00,509
2921.00,512
2920.00,502
2919.00,492
2918.00,496
2917.00,505
2916.00,532
2915.00,562
2914.00,524
2913.00,458
2912.00,453
2911.00,487
2910.00,524
2909.00,564
2908.00,575
2907.00,553
2906.00,538
2905.00,535
2904.00,536
2903.00,542
2902.00,545
2901.00,535
2900.00,526
2899.00,521
2898.00,520
2897.00,531
2896.00,542
2895.00,525
2894.00,501
2893.00,495
2892.00,496
2891.00,501
2890.00,508
2889.00,525
2888.00,551
2887.00,558
2886.00,534
2885.00,526
2884.00,551
2883.00,571
2882.00,570
2881.00,563
2880.00,528
2879.00,491
2878.00,454
2877.00,420
2876.00,460
2875.00,525
2874.00,549
2873.00,548
2872.00,544
2871.00,536
2870.00,527
2869.00,517
2868.00,513
2867.00,524
2866.00,534
2865.00,533
2864.00,532
2863.00,531
2862.00,532
2861.00,547
2860.00,568
2859.00,575
2858.00,574
2857.00,557
2856.00,521
2855.00,504
2854.00,522
2853.00,536
2852.00,535
2851.00,531
2850.00,512
2849.00,493
2848.00,492
2847.00,497
2846.00,505
2845.00,515
2844.00,518
2843.00,514
2842.00,503
2841.00,477
2840.00,462
2839.00,486
2838.00,514
2837.00,540
2836.00,565
2835.00,566
2834.00,558
2833.00,554
2832.00,552
2831.00,553
2830.00,558
2829.00,561
2828.00,559
2827.00,556
2826.00,548
2825.00,540
2824.00,531
2823.00,523
2822.00,511
2821.00,497
2820.00,478
2819.00,453
2818.00,436
2817.00,440
2816.00,444
2815.00,448
2814.00,452
2813.00,473
2812.00,500
2811.00,505
2810.00,497
2809.00,495
2808.00,504
2807.00,510
2806.00,507
2805.00,503
2804.00,501
2803.00,499
2802.00,490
2801.00,477
2800.00,478
2799.00,492
2798.00,497
2797.00,485
2796.00,477
2795.00,492
2794.00,510
2793.00,531
2792.00,555
2791.00,572
2790.00,584
2789.00,584
2788.00,561
2787.00,546
2786.00,559
2785.00,574
2784.00,576
2783.00,575
2782.00,589
2781.00,612
2780.00,625
2779.00,623
2778.00,622
2777.00,628
2776.00,633
2775.00,624
2774.00,611
2773.00,600
2772.00,591
2771.00,589
2770.00,600
2769.00,609
2768.00,607
2767.00,604
2766.00,602
2765.00,600
2764.00,597
2763.00,595
2762.00,594
2761.00,596
2760.00,596
2759.00,583
2758.00,568
2757.00,562
2756.00,559
2755.00,555
2754.00,552
2753.00,547
2752.00,537
2751.00,526
2750.00,522
2749.00,519
2748.00,524
2747.00,533
2746.00,540
2745.00,541
2744.00,542
2743.00,540
2742.00,537
2741.00,530
2740.00,521
2739.00,511
2738.00,500
2737.00,492
2736.00,496
2735.00,501
2734.00,506
2733.00,511
2732.00,515
2731.00,517
2730.00,524
