Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,-286
3199.00,-350
3198.00,-354
3197.00,-142
3196.00,221
3195.00,410
3194.00,521
3193.00,527
3192.00,523
3191.00,520
3190.00,517
3189.00,514
3188.00,511
3187.00,507
3186.00,503
3185.00,497
3184.00,484
3183.00,365
3182.00,221
3181.00,166
3180.00,136
3179.00,134
3178.00,156
3177.00,194
3176.00,203
3175.00,203
3174.00,202
3173.00,202
3172.00,201
3171.00,222
3170.00,256
3169.00,235
3168.00,208
3167.00,236
3166.00,250
3165.00,214
3164.00,196
3163.00,194
3162.00,142
3161.00,72
3160.00,2
3159.00,-59
3158.00,-92
3157.00,-93
3156.00,-57
3155.00,-22
3154.00,16
3153.00,103
3152.00,163
3151.00,79
3150.00,18
3149.00,17
3148.00,89
3147.00,215
3146.00,291
3145.00,396
3144.00,782
3143.00,987
3142.00,567
3141.00,306
3140.00,331
3139.00,250
3138.00,110
3137.00,54
3136.00,29
3135.00,26
3134.00,41
3133.00,95
3132.00,116
3131.00,89
3130.00,78
3129.00,78
3128.00,78
3127.00,81
3126.00,104
3125.00,125
3124.00,126
3123.00,155
3122.00,232
3121.00,226
3120.00,150
3119.00,162
3118.00,206
3117.00,195
3116.00,177
3115.00,197
3114.00,207
3113.00,183
3112.00,168
3111.00,168
3110.00,152
3109.00,126
3108.00,119
3107.00,116
3106.00,76
3105.00,38
3104.00,34
3103.00,41
3102.00,63
3101.00,86
3100.00,109
3099.00,96
3098.00,52
3097.00,51
3096.00,73
3095.00,78
3094.00,75
3093.00,56
3092.00,38
3091.00,37
3090.00,19
3089.00,-43
3088.00,-81
3087.00,-80
3086.00,-58
3085.00,-16
3084.00,-1
3083.00,2
3082.00,65
3081.00,149
3080.00,245
3079.00,330
3078.00,339
3077.00,333
3076.00,313
3075.00,293
3074.00,272
3073.00,267
3072.00,286
3071.00,284
3070.00,263
3069.00,243
3068.00,223
3067.00,203
3066.00,186
3065.00,196
3064.00,202
3063.00,125
3062.00,52
3061.00,59
3060.00,81
3059.00,115
3058.00,141
3057.00,141
3056.00,135
3055.00,117
3054.00,115
3053.00,131
3052.00,148
3051.00,165
3050.00,150
3049.00,116
3048.00,105
3047.00,106
3046.00,131
3045.00,160
3044.00,153
3043.00,139
3042.00,150
3041.00,161
3040.00,148
3039.00,132
3038.00,115
3037.00,103
3036.00,101
3035.00,105
3034.00,120
3033.00,136
3032.00,151
3031.00,159
3030.00,159
3029.00,172
3028.00,202
3027.00,216
3026.00,215
3025.00,222
3024.00,237
3023.00,340
3022.00,495
3021.00,465
3020.00,337
3019.00,293
3018.00,296
3017.00,399
3016.00,525
3015.00,451
3014.00,314
3013.00,228
3012.00,161
3011.00,136
3010.00,123
3009.00,120
3008.00,120
3007.00,119
3006.00,119
3005.00,119
3004.00,120
3003.00,131
3002.00,138
3001.00,115
3000.00,97
2999.00,118
2998.00,135
2997.00,113
2996.00,96
2995.00,117
2994.00,130
2993.00,97
2992.00,69
2991.00,77
2990.00,87
2989.00,88
2988.00,88
2987.00,87
2986.00,89
2985.00,100
2984.00,112
2983.00,123
2982.00,132
2981.00,132
2980.00,132
2979.00,132
2978.00,129
2977.00,118
2976.00,116
2975.00,158
2974.00,199
2973.00,223
2972.00,241
2971.00,242
2970.00,242
2969.00,252
2968.00,260
2967.00,260
2966.00,248
2965.00,188
2964.00,131
2963.00,124
2962.00,128
2961.00,156
2960.00,183
2959.00,187
2958.00,186
2957.00,185
2956.00,190
2955.00,241
2954.00,297
2953.00,308
2952.00,308
2951.00,322
2950.00,337
2949.00,303
2948.00,253
2947.00,238
2946.00,237
2945.00,236
2944.00,236
2943.00,235
2942.00,234
2941.00,233
2940.00,232
2939.00,231
2938.00,230
2937.00,233
2936.00,242
2935.00,225
2934.00,177
2933.00,141
2932.00,122
2931.00,113
2930.00,121
2929.00,135
2928.00,161
2927.00,181
2926.00,181
2925.00,180
2924.00,180
2923.00,183
2922.00,206
2921.00,226
2920.00,213
2919.00,197
2918.00,193
2917.00,191
2916.00,184
2915.00,175
2914.00,154
2913.00,128
2912.00,113
2911.00,104
2910.00,110
2909.00,126
2908.00,130
2907.00,121
2906.00,116
2905.00,115
2904.00,115
2903.00,114
2902.00,110
2901.00,95
2900.00,83
2899.00,96
2898.00,109
2897.00,104
2896.00,96
2895.00,94
2894.00,94
2893.00,111
2892.00,133
2891.00,146
2890.00,153
2889.00,156
2888.00,155
2887.00,152
2886.00,144
2885.00,131
2884.00,109
2883.00,91
2882.00,89
2881.00,83
2880.00,43
2879.00,3
2878.00,-4
2877.00,-3
2876.00,23
2875.00,58
2874.00,76
2873.00,82
2872.00,85
2871.00,85
2870.00,87
2869.00,94
2868.00,95
2867.00,82
2866.00,72
2865.00,83
2864.00,96
2863.00,103
2862.00,109
2861.00,105
2860.00,98
2859.00,95
2858.00,95
2857.00,94
2856.00,94
2855.00,95
2854.00,101
2853.00,106
2852.00,106
2851.00,105
2850.00,99
2849.00,92
2848.00,85
2847.00,79
2846.00,92
2845.00,117
2844.00,120
2843.00,101
2842.00,88
2841.00,88
2840.00,87
2839.00,87
2838.00,87
2837.00,86
2836.00,85
2835.00,71
2834.00,54
2833.00,46
2832.00,46
2831.00,41
2830.00,29
2829.00,20
2828.00,20
2827.00,19
2826.00,14
2825.00,8
2824.00,12
2823.00,17
2822.00,23
2821.00,28
2820.00,50
2819.00,94
2818.00,114
2817.00,73
2816.00,38
2815.00,47
2814.00,64
2813.00,92
2812.00,124
2811.00,133
2810.00,127
2809.00,110
2808.00,78
2807.00,54
2806.00,52
2805.00,51
2804.00,51
2803.00,51
2802.00,51
2801.00,50
2800.00,53
2799.00,58
2798.00,61
2797.00,61
2796.00,62
2795.00,71
2794.00,80
2793.00,82
2792.00,81
2791.00,78
2790.00,73
2789.00,64
2788.00,49
2787.00,38
2786.00,41
2785.00,46
2784.00,54
2783.00,63
2782.00,64
2781.00,59
2780.00,56
2779.00,55
2778.00,57
2777.00,65
2776.00,73
2775.00,63
2774.00,49
2773.00,38
2772.00,28
2771.00,25
2770.00,34
2769.00,41
2768.00,42
2767.00,42
2766.00,42
2765.00,41
2764.00,44
2763.00,48
2762.00,49
2761.00,45
2760.00,39
2759.00,27
2758.00,14
2757.00,10
2756.00,10
2755.00,6
2754.00,-3
2753.00,-10
2752.00,-10
2751.00,-10
2750.00,-3
2749.00,5
2748.00,19
2747.00,35
2746.00,48
2745.00,52
2744.00,55
2743.00,59
2742.00,63
2741.00,61
2740.00,57
2739.00,58
2738.00,65
2737.00,70
2736.00,63
2735.00,52
2734.00,13
2733.00,-35
2732.00,-43
2731.00,-15
2730.00,5
2729.00,6
2728.00,5
2727.00,2
2726.00,-2
2725.00,3
2724.00,14
2723.00,25
2722.00,32
2721.00,40
2720.00,51
2719.00,62
2718.00,66
2717.00,65
2716.00,65
2715.00,65
2714.00,63
2713.00,50
2712.00,35
2711.00,29
2710.00,29
2709.00,28
2708.00,24
2707.00,21
2706.00,20
2705.00,20
2704.00,22
2703.00,25
2702.00,31
2701.00,41
2700.00,50
2699.00,52
2698.00,51
2697.00,51
2696.00,51
2695.00,50
2694.00,46
2693.00,43
2692.00,42
2691.00,41
2690.00,39
2689.00,36
2688.00,33
2687.00,33
2686.00,32
2685.00,29
2684.00,26
2683.00,24
2682.00,24
2681.00,23
2680.00,23
2679.00,23
2678.00,21
2677.00,17
2676.00,14
2675.00,10
2674.00,6
2673.00,-3
2672.00,-13
2671.00,-17
2670.00,-17
2669.00,-16
2668.00,-13
2667.00,-10
2666.00,3
2665.00,19
2664.00,29
2663.00,32
2662.00,41
2661.00,80
2660.00,122
2659.00,130
2658.00,116
2657.00,101
2656.00,82
2655.00,66
2654.00,62
2653.00,62
2652.00,61
2651.00,61
2650.00,59
2649.00,45
2648.00,30
2647.00,24
2646.00,24
2645.00,24
2644.00,24
2643.00,24
2642.00,31
2641.00,39
2640.00,41
2639.00,32
2638.00,24
2637.00,22
2636.00,22
2635.00,24
2634.00,26
2633.00,28
2632.00,28
2631.00,28
2630.00,28
2629.00,28
2628.00,27
2627.00,27
2626.00,27
2625.00,29
2624.00,32
2623.00,34
2622.00,37
2621.00,38
2620.00,31
2619.00,23
2618.00,19
2617.00,19
2616.00,19
2615.00,24
2614.00,29
2613.00,28
2612.00,22
2611.00,18
2610.00,18
2609.00,17
2608.00,17
2607.00,17
2606.00,18
2605.00,20
2604.00,22
2603.00,23
2602.00,22
2601.00,23
2600.00,26
2599.00,28
2598.00,28
2597.00,28
2596.00,31
2595.00,38
2594.00,44
2593.00,40
2592.00,35
2591.00,33
2590.00,32
2589.00,32
2588.00,29
2587.00,27
2586.00,19
2585.00,7
2584.00,-3
2583.00,-5
2582.00,-5
2581.00,0
2580.00,10
2579.00,15
2578.00,5
2577.00,-6
2576.00,-18
2575.00,-30
2574.00,-36
2573.00,-15
2572.00,8
2571.00,17
2570.00,17
2569.00,15
2568.00,9
2567.00,2
2566.00,3
2565.00,10
2564.00,15
2563.00,16
2562.00,15
2561.00,13
2560.00,8
2559.00,4
2558.00,1
2557.00,-1
2556.00,0
2555.00,5
2554.00,8
2553.00,4
2552.00,-0
2551.00,-2
2550.00,1
2549.00,3
2548.00,9
2547.00,15
2546.00,20
2545.00,25
2544.00,28
2543.00,29
2542.00,28
2541.00,26
2540.00,22
2539.00,18
2538.00,21
2537.00,25
2536.00,28
2535.00,30
2534.00,32
2533.00,32
2532.00,32
2531.00,32
2530.00,31
2529.00,31
2528.00,32
2527.00,34
2526.00,35
2525.00,31
2524.00,27
2523.00,21
2522.00,15
2521.00,10
2520.00,11
2519.00,13
2518.00,14
2517.00,14
2516.00,14
2515.00,13
2514.00,13
2513.00,13
2512.00,13
2511.00,13
2510.00,10
2509.00,6
2508.00,3
2507.00,2
2506.00,2
2505.00,2
2504.00,2
2503.00,2
2502.00,4
2501.00,6
2500.00,7
2499.00,9
2498.00,11
2497.00,13
2496.00,14
2495.00,15
2494.00,15
2493.00,15
2492.00,14
2491.00,12
2490.00,9
2489.00,6
2488.00,2
2487.00,1
2486.00,3
2485.00,5
2484.00,8
2483.00,12
2482.00,12
