Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,34
3199.00,34
3198.00,33
3197.00,59
3196.00,103
3195.00,113
3194.00,121
3193.00,163
3192.00,171
3191.00,126
3190.00,110
3189.00,110
3188.00,109
3187.00,109
3186.00,108
3185.00,108
3184.00,110
3183.00,166
3182.00,233
3181.00,245
3180.00,259
3179.00,298
3178.00,293
3177.00,251
3176.00,209
3175.00,169
3174.00,130
3173.00,90
3172.00,50
3171.00,54
3170.00,91
3169.00,99
3168.00,99
3167.00,98
3166.00,120
3165.00,192
3164.00,224
3163.00,221
3162.00,194
3161.00,153
3160.00,86
3159.00,26
3158.00,-9
3157.00,-27
3156.00,-26
3155.00,-3
3154.00,22
3153.00,-26
3152.00,-65
3151.00,-9
3150.00,32
3149.00,32
3148.00,122
3147.00,277
3146.00,360
3145.00,464
3144.00,849
3143.00,1060
3142.00,668
3141.00,411
3140.00,405
3139.00,310
3138.00,162
3137.00,15
3136.00,-108
3135.00,-124
3134.00,-55
3133.00,187
3132.00,332
3131.00,330
3130.00,278
3129.00,199
3128.00,177
3127.00,176
3126.00,175
3125.00,167
3124.00,141
3123.00,134
3122.00,158
3121.00,142
3120.00,89
3119.00,55
3118.00,31
3117.00,26
3116.00,26
3115.00,26
3114.00,26
3113.00,25
3112.00,25
3111.00,25
3110.00,23
3109.00,21
3108.00,21
3107.00,20
3106.00,0
3105.00,-22
3104.00,-45
3103.00,-62
3102.00,-63
3101.00,-63
3100.00,-62
3099.00,-27
3098.00,39
3097.00,33
3096.00,-9
3095.00,-20
3094.00,-13
3093.00,43
3092.00,96
3091.00,100
3090.00,81
3089.00,19
3088.00,-20
3087.00,-21
3086.00,12
3085.00,74
3084.00,95
3083.00,95
3082.00,94
3081.00,88
3080.00,37
3079.00,-18
3078.00,-42
3077.00,-57
3076.00,-59
3075.00,-40
3074.00,17
3073.00,59
3072.00,78
3071.00,107
3070.00,145
3069.00,182
3068.00,216
3067.00,212
3066.00,192
3065.00,172
3064.00,149
3063.00,98
3062.00,51
3061.00,46
3060.00,41
3059.00,24
3058.00,11
3057.00,10
3056.00,16
3055.00,33
3054.00,50
3053.00,67
3052.00,65
3051.00,48
3050.00,72
3049.00,122
3048.00,136
3047.00,135
3046.00,134
3045.00,132
3044.00,118
3043.00,104
3042.00,115
3041.00,121
3040.00,79
3039.00,36
3038.00,17
3037.00,8
3036.00,22
3035.00,33
3034.00,33
3033.00,32
3032.00,32
3031.00,32
3030.00,31
3029.00,57
3028.00,118
3027.00,132
3026.00,101
3025.00,94
3024.00,110
3023.00,223
3022.00,391
3021.00,367
3020.00,238
3019.00,195
3018.00,200
3017.00,333
3016.00,499
3015.00,435
3014.00,302
3013.00,290
3012.00,315
3011.00,330
3010.00,342
3009.00,354
3008.00,365
3007.00,366
3006.00,364
3005.00,361
3004.00,357
3003.00,344
3002.00,330
3001.00,327
3000.00,329
2999.00,351
2998.00,366
2997.00,343
2996.00,320
2995.00,316
2994.00,309
2993.00,285
2992.00,256
2991.00,218
2990.00,186
2989.00,182
2988.00,181
2987.00,180
2986.00,179
2985.00,178
2984.00,179
2983.00,189
2982.00,198
2981.00,198
2980.00,192
2979.00,169
2978.00,150
2977.00,147
2976.00,148
2975.00,158
2974.00,167
2973.00,167
2972.00,167
2971.00,177
2970.00,188
2969.00,209
2968.00,226
2967.00,226
2966.00,232
2965.00,271
2964.00,307
2963.00,310
2962.00,309
2961.00,316
2960.00,327
2959.00,354
2958.00,382
2957.00,394
2956.00,402
2955.00,410
2954.00,418
2953.00,435
2952.00,452
2951.00,453
2950.00,450
2949.00,447
2948.00,445
2947.00,442
2946.00,440
2945.00,437
2944.00,435
2943.00,408
2942.00,368
2941.00,351
2940.00,349
2939.00,346
2938.00,343
