Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,-11
3199.00,11
3198.00,12
3197.00,39
3196.00,84
3195.00,94
3194.00,94
3193.00,94
3192.00,76
3191.00,32
3190.00,18
3189.00,19
3188.00,19
3187.00,44
3186.00,127
3185.00,168
3184.00,170
3183.00,226
3182.00,283
3181.00,224
3180.00,143
3179.00,61
3178.00,-21
3177.00,-93
3176.00,-50
3175.00,17
3174.00,25
3173.00,0
3172.00,-76
3171.00,-67
3170.00,14
3169.00,117
3168.00,207
3167.00,185
3166.00,136
3165.00,63
3164.00,29
3163.00,31
3162.00,58
3161.00,81
3160.00,24
3159.00,-36
3158.00,-70
3157.00,-72
3156.00,-36
3155.00,-2
3154.00,23
3153.00,-24
3152.00,-82
3151.00,-116
3150.00,-123
3149.00,-93
3148.00,-6
3147.00,120
3146.00,197
3145.00,310
3144.00,750
3143.00,1023
3142.00,692
3141.00,446
3140.00,381
3139.00,301
3138.00,217
3137.00,195
3136.00,183
3135.00,107
3134.00,50
3133.00,74
3132.00,113
3131.00,168
3130.00,156
3129.00,104
3128.00,89
3127.00,89
3126.00,89
3125.00,89
3124.00,89
3123.00,108
3122.00,159
3121.00,169
3120.00,143
3119.00,135
3118.00,132
3117.00,111
3116.00,89
3115.00,87
3114.00,86
3113.00,86
3112.00,86
3111.00,85
3110.00,69
3109.00,40
3108.00,15
3107.00,-7
3106.00,-28
3105.00,-45
3104.00,-46
3103.00,-45
3102.00,-44
3101.00,-27
3100.00,19
3099.00,41
3098.00,43
3097.00,101
3096.00,185
3095.00,205
3094.00,212
3093.00,267
3092.00,311
3091.00,275
3090.00,212
3089.00,106
3088.00,42
3087.00,41
3086.00,41
3085.00,41
3084.00,41
3083.00,41
3082.00,57
3081.00,75
3080.00,78
3079.00,72
3078.00,36
3077.00,5
3076.00,3
3075.00,3
3074.00,3
3073.00,11
3072.00,30
3071.00,60
3070.00,98
3069.00,124
3068.00,141
3067.00,146
3066.00,144
3065.00,129
3064.00,104
3063.00,38
3062.00,-23
3061.00,-31
3060.00,-27
3059.00,-10
3058.00,3
3057.00,4
3056.00,29
3055.00,100
3054.00,146
3053.00,163
3052.00,161
3051.00,143
3050.00,136
3049.00,134
3048.00,98
3047.00,50
3046.00,37
3045.00,40
3044.00,66
3043.00,92
3042.00,68
3041.00,45
3040.00,70
3039.00,99
3038.00,116
3037.00,131
3036.00,146
3035.00,148
3034.00,118
3033.00,96
3032.00,95
3031.00,83
3030.00,53
3029.00,49
3028.00,79
3027.00,71
3026.00,26
3025.00,38
3024.00,99
3023.00,256
3022.00,468
3021.00,469
3020.00,354
3019.00,305
3018.00,294
3017.00,403
3016.00,551
3015.00,627
3014.00,663
3013.00,491
3012.00,265
3011.00,184
3010.00,156
3009.00,239
3008.00,334
3007.00,338
3006.00,324
3005.00,321
3004.00,319
3003.00,317
3002.00,316
3001.00,314
3000.00,313
2999.00,312
2998.00,306
2997.00,281
2996.00,263
2995.00,283
2994.00,291
2993.00,234
2992.00,185
2991.00,190
2990.00,197
2989.00,185
2988.00,172
2987.00,160
2986.00,149
2985.00,148
2984.00,147
2983.00,147
2982.00,146
2981.00,146
2980.00,145
2979.00,144
2978.00,144
2977.00,143
2976.00,147
2975.00,168
2974.00,190
2973.00,212
2972.00,222
2971.00,181
2970.00,142
2969.00,138
2968.00,137
2967.00,137
2966.00,145
2965.00,194
2964.00,241
2963.00,256
2962.00,270
2961.00,308
2960.00,343
2959.00,347
2958.00,346
2957.00,344
2956.00,343
2955.00,350
2954.00,357
2953.00,358
2952.00,358
2951.00,380
2950.00,406
2949.00,412
2948.00,410
2947.00,408
2946.00,406
2945.00,404
2944.00,402
2943.00,382
2942.00,352
2941.00,327
2940.00,306
2939.00,290
2938.00,279
2937.00,249
2936.00,201
2935.00,152
2934.00,104
2933.00,76
2932.00,76
2931.00,78
2930.00,87
2929.00,101
2928.00,127
2927.00,147
2926.00,147
2925.00,148
2924.00,156
2923.00,162
2922.00,162
2921.00,161
2920.00,160
2919.00,159
2918.00,159
2917.00,158
2916.00,157
2915.00,155
2914.00,119
2913.00,69
2912.00,55
2911.00,63
2910.00,81
2909.00,105
2908.00,110
2907.00,92
2906.00,82
2905.00,81
2904.00,81
2903.00,80
2902.00,78
2901.00,70
2900.00,64
2899.00,70
2898.00,77
2897.00,77
2896.00,77
2895.00,76
2894.00,76
2893.00,75
2892.00,75
2891.00,103
2890.00,149
2889.00,170
2888.00,169
2887.00,159
2886.00,136
2885.00,108
2884.00,71
2883.00,50
2882.00,81
2881.00,119
2880.00,169
2879.00,204
2878.00,111
2877.00,-5
2876.00,6
2875.00,61
2874.00,91
2873.00,104
2872.00,104
2871.00,89
2870.00,78
2869.00,70
2868.00,68
2867.00,81
2866.00,91
2865.00,92
2864.00,92
2863.00,91
2862.00,91
2861.00,95
2860.00,101
2859.00,103
2858.00,102
2857.00,95
2856.00,82
2855.00,75
2854.00,81
2853.00,83
2852.00,71
2851.00,58
2850.00,50
2849.00,44
2848.00,42
2847.00,42
2846.00,46
2845.00,51
2844.00,54
2843.00,54
2842.00,51
2841.00,45
2840.00,42
2839.00,53
2838.00,63
2837.00,64
2836.00,63
2835.00,54
2834.00,42
2833.00,44
2832.00,55
2831.00,66
2830.00,78
2829.00,84
2828.00,79
2827.00,67
2826.00,31
2825.00,-5
2824.00,17
2823.00,56
2822.00,66
2821.00,60
2820.00,52
2819.00,40
2818.00,33
2817.00,38
2816.00,44
2815.00,54
2814.00,63
2813.00,62
2812.00,56
2811.00,47
2810.00,36
2809.00,24
2808.00,13
2807.00,10
2806.00,29
2805.00,47
2804.00,50
2803.00,50
2802.00,49
2801.00,49
2800.00,51
2799.00,56
2798.00,59
2797.00,59
2796.00,60
2795.00,68
