Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,6
3199.00,14
3198.00,60
3197.00,71
3196.00,53
3195.00,45
3194.00,38
3193.00,23
3192.00,-10
3191.00,-68
3190.00,-93
3189.00,-98
3188.00,-72
3187.00,-30
3186.00,35
3185.00,45
3184.00,8
3183.00,9
3182.00,43
3181.00,183
3180.00,321
3179.00,403
3178.00,435
3177.00,425
3176.00,381
3175.00,334
3174.00,323
3173.00,316
3172.00,309
3171.00,316
3170.00,331
3169.00,326
3168.00,334
3167.00,455
3166.00,546
3165.00,536
3164.00,439
3163.00,279
3162.00,191
3161.00,130
3160.00,63
3159.00,10
3158.00,-7
3157.00,-20
3156.00,-31
3155.00,-18
3154.00,11
3153.00,86
3152.00,125
3151.00,-3
3150.00,-298
3149.00,-861
3148.00,-723
3147.00,-53
3146.00,157
3145.00,218
3144.00,349
3143.00,414
3142.00,265
3141.00,213
3140.00,319
3139.00,305
3138.00,219
3137.00,126
3136.00,44
3135.00,30
3134.00,33
3133.00,54
3132.00,83
3131.00,122
3130.00,134
3129.00,132
3128.00,191
3127.00,257
3126.00,252
3125.00,236
3124.00,224
3123.00,242
3122.00,311
3121.00,311
3120.00,251
3119.00,226
3118.00,214
3117.00,187
3116.00,160
3115.00,151
3114.00,142
3113.00,128
3112.00,131
3111.00,161
3110.00,195
3109.00,231
3108.00,223
3107.00,199
3106.00,177
3105.00,151
3104.00,96
3103.00,50
3102.00,39
3101.00,83
3100.00,211
3099.00,207
3098.00,85
3097.00,50
3096.00,61
3095.00,61
3094.00,74
3093.00,197
3092.00,309
3091.00,293
3090.00,257
3089.00,205
3088.00,160
3087.00,128
3086.00,154
3085.00,228
3084.00,198
3083.00,117
3082.00,151
3081.00,207
3080.00,127
3079.00,36
3078.00,49
3077.00,52
3076.00,-21
3075.00,-59
3074.00,-11
3073.00,24
3072.00,38
3071.00,61
3070.00,92
3069.00,120
3068.00,143
3067.00,130
3066.00,105
3065.00,121
3064.00,142
3063.00,109
3062.00,81
3061.00,125
3060.00,164
3059.00,158
3058.00,150
3057.00,147
3056.00,190
3055.00,315
3054.00,332
3053.00,221
3052.00,175
3051.00,189
3050.00,249
3049.00,335
3048.00,354
3047.00,344
3046.00,335
3045.00,326
3044.00,320
3043.00,315
3042.00,320
3041.00,331
3040.00,365
3039.00,391
3038.00,366
3037.00,331
3036.00,280
3035.00,228
3034.00,173
3033.00,108
3032.00,26
3031.00,-27
3030.00,-35
3029.00,-28
3028.00,-2
3027.00,4
3026.00,-7
3025.00,47
3024.00,159
3023.00,342
3022.00,563
3021.00,553
3020.00,418
3019.00,366
3018.00,359
3017.00,453
3016.00,574
3015.00,532
3014.00,437
3013.00,376
3012.00,322
3011.00,249
3010.00,182
3009.00,202
3008.00,236
3007.00,236
3006.00,228
3005.00,218
3004.00,207
3003.00,187
3002.00,178
3001.00,227
3000.00,281
2999.00,326
2998.00,356
2997.00,328
2996.00,302
2995.00,314
2994.00,331
2993.00,347
2992.00,351
2991.00,306
2990.00,260
2989.00,225
2988.00,196
2987.00,187
2986.00,181
2985.00,178
2984.00,174
2983.00,167
2982.00,161
2981.00,157
2980.00,161
2979.00,187
2978.00,209
2977.00,206
2976.00,210
2975.00,260
2974.00,302
2973.00,300
2972.00,294
2971.00,295
2970.00,295
2969.00,287
2968.00,285
2967.00,318
2966.00,341
2965.00,299
2964.00,266
2963.00,312
2962.00,361
2961.00,366
2960.00,355
2959.00,277
2958.00,194
2957.00,172
2956.00,170
2955.00,220
2954.00,277
2953.00,284
2952.00,277
2951.00,258
2950.00,240
2949.00,266
2948.00,309
2947.00,343
2946.00,373
2945.00,376
2944.00,369
2943.00,363
2942.00,359
2941.00,358
2940.00,360
2939.00,353
2938.00,339
2937.00,339
2936.00,353
2935.00,346
2934.00,315
2933.00,294
2932.00,285
2931.00,280
2930.00,281
2929.00,293
2928.00,329
2927.00,355
2926.00,350
2925.00,343
2924.00,342
2923.00,342
2922.00,339
2921.00,335
2920.00,326
2919.00,316
2918.00,308
2917.00,301
2916.00,275
2915.00,244
2914.00,196
2913.00,142
2912.00,119
2911.00,114
2910.00,132
2909.00,168
2908.00,203
2907.00,239
2906.00,257
2905.00,249
2904.00,250
2903.00,275
2902.00,286
2901.00,249
2900.00,218
2899.00,234
2898.00,245
2897.00,196
2896.00,145
2895.00,202
2894.00,284
2893.00,317
2892.00,330
2891.00,337
2890.00,340
2889.00,304
2888.00,233
2887.00,221
2886.00,296
2885.00,338
2884.00,301
