Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,57
3199.00,79
3198.00,80
3197.00,132
3196.00,216
3195.00,200
3194.00,170
3193.00,208
3192.00,215
3191.00,171
3190.00,185
3189.00,228
3188.00,270
3187.00,346
3186.00,508
3185.00,581
3184.00,568
3183.00,559
3182.00,554
3181.00,562
3180.00,569
3179.00,569
3178.00,434
3177.00,202
3176.00,144
3175.00,143
3174.00,143
3173.00,142
3172.00,142
3171.00,162
3170.00,197
3169.00,205
3168.00,209
3167.00,241
3166.00,254
3165.00,218
3164.00,199
3163.00,196
3162.00,169
3161.00,124
3160.00,27
3159.00,-49
3158.00,-51
3157.00,-51
3156.00,-50
3155.00,-49
3154.00,-51
3153.00,-78
3152.00,-96
3151.00,-67
3150.00,-47
3149.00,-46
3148.00,62
3147.00,248
3146.00,340
3145.00,451
3144.00,890
3143.00,1147
3142.00,757
3141.00,500
3140.00,493
3139.00,397
3138.00,255
3137.00,220
3136.00,204
3135.00,102
3134.00,40
3133.00,116
3132.00,141
3131.00,85
3130.00,63
3129.00,62
3128.00,62
3127.00,62
3126.00,62
3125.00,61
3124.00,61
3123.00,80
3122.00,132
3121.00,127
3120.00,76
3119.00,78
3118.00,99
3117.00,83
3116.00,58
3115.00,32
3114.00,14
3113.00,13
3112.00,13
3111.00,13
3110.00,11
3109.00,10
3108.00,10
3107.00,9
3106.00,-10
3105.00,-29
3104.00,-30
3103.00,-30
3102.00,-30
3101.00,-29
3100.00,-29
3099.00,-29
3098.00,-27
3097.00,32
3096.00,116
3095.00,136
3094.00,143
3093.00,198
3092.00,250
3091.00,254
3090.00,223
3089.00,118
3088.00,45
3087.00,23
3086.00,13
3085.00,12
3084.00,-1
3083.00,-21
3082.00,-26
3081.00,-28
3080.00,-44
3079.00,-64
3078.00,-83
3077.00,-94
3076.00,-76
3075.00,-63
3074.00,-62
3073.00,-62
3072.00,-62
3071.00,-41
3070.00,-2
3069.00,36
3068.00,72
3067.00,69
3066.00,50
3065.00,31
3064.00,18
3063.00,47
3062.00,80
3061.00,100
3060.00,114
3059.00,114
3058.00,113
3057.00,113
3056.00,119
3055.00,135
3054.00,152
3053.00,169
3052.00,157
3051.00,122
3050.00,119
3049.00,135
3048.00,140
3047.00,138
3046.00,125
3045.00,107
3044.00,91
3043.00,77
3042.00,88
3041.00,99
3040.00,86
3039.00,70
3038.00,53
3037.00,48
3036.00,77
3035.00,95
3034.00,80
3033.00,53
3032.00,8
3031.00,14
3030.00,104
3029.00,123
3028.00,46
3027.00,8
3026.00,8
3025.00,56
3024.00,146
3023.00,307
3022.00,505
3021.00,528
3020.00,456
3019.00,459
3018.00,506
3017.00,681
3016.00,882
3015.00,763
3014.00,544
3013.00,427
3012.00,348
3011.00,341
3010.00,350
3009.00,329
3008.00,302
3007.00,286
3006.00,272
3005.00,269
3004.00,266
3003.00,253
3002.00,240
3001.00,238
3000.00,238
2999.00,249
2998.00,254
2997.00,231
2996.00,213
2995.00,233
2994.00,250
2993.00,239
2992.00,230
2991.00,239
2990.00,247
2989.00,247
2988.00,245
2987.00,244
2986.00,246
2985.00,256
2984.00,260
2983.00,238
2982.00,218
2981.00,216
2980.00,215
2979.00,214
2978.00,213
2977.00,212
2976.00,214
2975.00,224
2974.00,232
2973.00,232
2972.00,227
2971.00,205
2970.00,191
2969.00,219
2968.00,246
2967.00,247
2966.00,250
2965.00,269
2964.00,285
2963.00,276
2962.00,267
2961.00,273
2960.00,282
2959.00,291
2958.00,300
2957.00,300
2956.00,305
2955.00,363
2954.00,432
2953.00,477
2952.00,513
2951.00,510
2950.00,497
2949.00,476
2948.00,455
2947.00,447
2946.00,445
2945.00,443
2944.00,441
2943.00,433
2942.00,422
2941.00,411
2940.00,399
2939.00,359
2938.00,300
2937.00,266
2936.00,256
2935.00,228
2934.00,179
2933.00,150
2932.00,149
2931.00,152
2930.00,160
2929.00,171
2928.00,188
2927.00,200
2926.00,200
2925.00,198
2924.00,188
2923.00,179
2922.00,168
2921.00,160
2920.00,157
2919.00,156
2918.00,156
2917.00,155
2916.00,154
2915.00,153
2914.00,128
2913.00,95
2912.00,82
2911.00,81
2910.00,91
2909.00,106
2908.00,107
2907.00,89
2906.00,79
2905.00,78
