Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,-23
3199.00,-10
3198.00,36
3197.00,81
3196.00,120
3195.00,128
3194.00,118
3193.00,71
3192.00,41
3191.00,38
3190.00,35
3189.00,33
3188.00,30
3187.00,39
3186.00,76
3185.00,111
3184.00,139
3183.00,114
3182.00,80
3181.00,117
3180.00,151
3179.00,152
3178.00,151
3177.00,147
3176.00,113
3175.00,95
3174.00,194
3173.00,248
3172.00,172
3171.00,155
3170.00,180
3169.00,101
3168.00,19
3167.00,104
3166.00,156
3165.00,83
3164.00,46
3163.00,43
3162.00,64
3161.00,86
3160.00,59
3159.00,23
3158.00,-13
3157.00,-19
3156.00,12
3155.00,21
3154.00,19
3153.00,16
3152.00,14
3151.00,11
3150.00,9
3149.00,9
3148.00,98
3147.00,251
3146.00,332
3145.00,434
3144.00,816
3143.00,967
3142.00,343
3141.00,55
3140.00,317
3139.00,319
3138.00,174
3137.00,136
3136.00,119
3135.00,17
3134.00,-62
3133.00,-41
3132.00,-26
3131.00,-29
3130.00,-31
3129.00,-32
3128.00,-33
3127.00,-27
3126.00,17
3125.00,56
3124.00,56
3123.00,82
3122.00,158
3121.00,164
3120.00,109
3119.00,74
3118.00,48
3117.00,42
3116.00,36
3115.00,12
3114.00,-15
3113.00,-42
3112.00,-48
3111.00,-23
3110.00,53
3109.00,164
3108.00,131
3107.00,48
3106.00,6
3105.00,-17
3104.00,-1
3103.00,14
3102.00,13
3101.00,11
3100.00,10
3099.00,7
3098.00,6
3097.00,48
3096.00,108
3095.00,122
3094.00,128
3093.00,182
3092.00,232
3091.00,235
3090.00,232
3089.00,229
3088.00,225
3087.00,222
3086.00,219
3085.00,215
3084.00,159
3083.00,78
3082.00,56
3081.00,51
3080.00,32
3079.00,13
3078.00,8
3077.00,10
3076.00,29
3075.00,35
3074.00,14
3073.00,9
3072.00,27
3071.00,55
3070.00,91
3069.00,127
3068.00,159
3067.00,153
3066.00,132
3065.00,126
3064.00,119
3063.00,86
3062.00,54
3061.00,49
3060.00,40
3059.00,4
3058.00,-23
3057.00,-25
3056.00,-21
3055.00,-6
3054.00,17
3053.00,50
3052.00,55
3051.00,37
3050.00,60
3049.00,107
3048.00,119
3047.00,115
3046.00,87
3045.00,56
3044.00,61
3043.00,78
3042.00,106
3041.00,127
3040.00,99
3039.00,67
3038.00,47
3037.00,39
3036.00,67
3035.00,84
3034.00,67
3033.00,44
3032.00,12
3031.00,-14
3030.00,-31
3029.00,-28
3028.00,1
3027.00,-1
3026.00,-33
3025.00,-41
3024.00,-27
3023.00,85
3022.00,254
3021.00,219
3020.00,74
3019.00,-33
3018.00,-109
3017.00,62
3016.00,308
3015.00,263
3014.00,130
3013.00,128
3012.00,166
3011.00,182
3010.00,194
3009.00,218
3008.00,238
3007.00,217
3006.00,191
3005.00,184
3004.00,173
3003.00,112
3002.00,52
3001.00,44
3000.00,41
2999.00,40
2998.00,33
2997.00,8
2996.00,0
2995.00,77
2994.00,142
2993.00,124
2992.00,103
2991.00,109
