Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,78
3199.00,100
3198.00,101
3197.00,179
3196.00,310
3195.00,339
3194.00,328
3193.00,284
3192.00,236
3191.00,190
3190.00,145
3189.00,105
3188.00,98
3187.00,98
3186.00,98
3185.00,97
3184.00,98
3183.00,126
3182.00,170
3181.00,247
3180.00,306
3179.00,307
3178.00,284
3177.00,245
3176.00,234
3175.00,239
3174.00,273
3173.00,286
3172.00,248
3171.00,229
3170.00,227
3169.00,226
3168.00,224
3167.00,223
3166.00,211
3165.00,174
3164.00,97
3163.00,-5
3162.00,-7
3161.00,17
3160.00,-40
3159.00,-91
3158.00,-92
3157.00,-90
3156.00,-89
3155.00,-88
3154.00,-85
3153.00,-57
3152.00,-36
3151.00,-63
3150.00,-83
3149.00,-83
3148.00,8
3147.00,168
3146.00,322
3145.00,496
3144.00,812
3143.00,955
3142.00,560
3141.00,342
3140.00,425
3139.00,310
3138.00,86
3137.00,9
3136.00,-12
3135.00,11
3134.00,39
3133.00,67
3132.00,83
3131.00,83
3130.00,83
3129.00,83
3128.00,83
3127.00,82
3126.00,82
3125.00,88
3124.00,113
3123.00,139
3122.00,164
3121.00,176
3120.00,175
3119.00,174
3118.00,165
3117.00,82
3116.00,-3
3115.00,-12
3114.00,-5
3113.00,19
3112.00,23
3111.00,-1
3110.00,1
3109.00,23
3108.00,30
3107.00,30
3106.00,11
3105.00,-1
3104.00,40
3103.00,75
3102.00,76
3101.00,76
3100.00,76
3099.00,76
3098.00,76
3097.00,105
3096.00,147
3095.00,157
3094.00,164
3093.00,219
3092.00,267
3091.00,251
3090.00,216
3089.00,153
3088.00,113
3087.00,112
3086.00,112
3085.00,111
3084.00,111
3083.00,111
3082.00,110
3081.00,110
3080.00,109
3079.00,106
3078.00,88
3077.00,72
3076.00,70
3075.00,70
3074.00,70
3073.00,78
3072.00,97
3071.00,96
3070.00,76
3069.00,81
3068.00,98
3067.00,90
3066.00,72
3065.00,68
3064.00,66
3063.00,50
3062.00,34
3061.00,33
3060.00,32
3059.00,32
3058.00,32
3057.00,32
3056.00,38
3055.00,56
3054.00,73
3053.00,90
3052.00,89
3051.00,72
3050.00,86
3049.00,119
3048.00,129
3047.00,127
3046.00,101
3045.00,68
3044.00,49
3043.00,36
3042.00,47
3041.00,59
3040.00,46
3039.00,38
3038.00,67
3037.00,102
3036.00,148
3035.00,181
3034.00,182
3033.00,171
3032.00,140
3031.00,109
3030.00,78
3029.00,74
3028.00,104
3027.00,103
3026.00,73
3025.00,67
3024.00,84
3023.00,251
3022.00,506
3021.00,521
3020.00,406
3019.00,357
3018.00,347
3017.00,455
3016.00,594
3015.00,523
3014.00,382
3013.00,253
3012.00,132
3011.00,74
3010.00,39
3009.00,54
3008.00,79
3007.00,82
3006.00,82
3005.00,82
3004.00,83
3003.00,94
3002.00,105
3001.00,106
3000.00,106
2999.00,105
2998.00,101
2997.00,77
2996.00,60
2995.00,81
2994.00,97
2993.00,75
2992.00,57
2991.00,66
2990.00,81
2989.00,104
2988.00,123
2987.00,124
2986.00,123
2985.00,123
2984.00,123
2983.00,122
2982.00,124
2981.00,135
2980.00,137
2979.00,105
2978.00,76
2977.00,73
2976.00,80
2975.00,111
2974.00,145
2973.00,179
2972.00,205
2971.00,196
2970.00,186
2969.00,184
2968.00,183
2967.00,182
2966.00,182
2965.00,181
2964.00,179
2963.00,168
2962.00,158
2961.00,156
2960.00,153
2959.00,134
2958.00,114
2957.00,111
2956.00,111
2955.00,119
2954.00,128
2953.00,129
2952.00,130
2951.00,146
2950.00,165
2949.00,184
2948.00,203
2947.00,207
2946.00,206
2945.00,206
2944.00,205
2943.00,204
2942.00,203
2941.00,191
2940.00,171
2939.00,145
2938.00,116
2937.00,106
2936.00,115
2935.00,98
2934.00,51
2933.00,23
2932.00,23
2931.00,26
2930.00,35
2929.00,49
2928.00,76
2927.00,96
2926.00,97
2925.00,103
2924.00,136
2923.00,165
2922.00,168
2921.00,170
2920.00,191
2919.00,215
2918.00,233
2917.00,250
2916.00,266
2915.00,280
2914.00,261
2913.00,227
2912.00,235
2911.00,268
2910.00,306
2909.00,346
2908.00,358
2907.00,339
2906.00,327
2905.00,325
2904.00,326
2903.00,333
2902.00,338
2901.00,337
2900.00,330
2899.00,300
2898.00,267
2897.00,235
2896.00,205
2895.00,198
2894.00,196
2893.00,168
2892.00,130
2891.00,116
2890.00,115
2889.00,71
2888.00,-11
2887.00,-37
2886.00,22
2885.00,64
2884.00,65
2883.00,66
2882.00,73
2881.00,75
2880.00,49
2879.00,23
2878.00,18
2877.00,19
2876.00,39
2875.00,67
2874.00,82
2873.00,88
2872.00,88
2871.00,81
2870.00,71
2869.00,57
2868.00,47
2867.00,46
2866.00,48
2865.00,60
2864.00,73
2863.00,80
2862.00,86
2861.00,88
2860.00,87
2859.00,91
2858.00,97
2857.00,97
2856.00,90
2855.00,87
2854.00,93
2853.00,97
2852.00,91
2851.00,84
2850.00,77
2849.00,71
2848.00,64
2847.00,58
2846.00,63
2845.00,75
2844.00,76
2843.00,63
2842.00,50
2841.00,38
2840.00,30
2839.00,41
2838.00,51
2837.00,47
2836.00,40
2835.00,25
2834.00,8
2833.00,4
2832.00,10
2831.00,18
2830.00,29
2829.00,38
2828.00,38
2827.00,38
2826.00,38
2825.00,38
2824.00,42
2823.00,47
2822.00,49
2821.00,49
2820.00,46
2819.00,41
2818.00,36
2817.00,36
2816.00,36
2815.00,36
2814.00,35
2813.00,27
2812.00,16
2811.00,8
2810.00,3
2809.00,1
2808.00,7
2807.00,13
2806.00,23
2805.00,32
2804.00,34
2803.00,34
2802.00,41
2801.00,51
2800.00,59
2799.00,63
2798.00,67
2797.00,66
2796.00,68
2795.00,76
2794.00,85
2793.00,84
2792.00,78
2791.00,76
2790.00,76
2789.00,73
2788.00,68
2787.00,65
2786.00,69
2785.00,72
2784.00,61
2783.00,47
2782.00,38
2781.00,33
2780.00,26
2779.00,17
2778.00,11
2777.00,18
2776.00,27
2775.00,25
2774.00,20
2773.00,21
2772.00,25
2771.00,30
2770.00,34
2769.00,38
2768.00,43
2767.00,47
2766.00,48
2765.00,48
2764.00,45
2763.00,40
2762.00,36
2761.00,31
2760.00,25
2759.00,13
2758.00,0
2757.00,-4
2756.00,-4
2755.00,-4
2754.00,-4
2753.00,-5
2752.00,-9
2751.00,-13
2750.00,-10
2749.00,-6
2748.00,-2
2747.00,2
2746.00,7
2745.00,11
2744.00,14
2743.00,14
2742.00,15
2741.00,35
2740.00,63
2739.00,69
2738.00,44
2737.00,26
2736.00,32
2735.00,37
2734.00,1
2733.00,-46
2732.00,-55
2731.00,-27
2730.00,-6
2729.00,-5
2728.00,-5
2727.00,-5
2726.00,-5
2725.00,1
2724.00,12
2723.00,21
2722.00,21
2721.00,21
2720.00,28
2719.00,35
2718.00,33
2717.00,25
2716.00,20
2715.00,20
2714.00,19
2713.00,12
2712.00,5
2711.00,-2
2710.00,-10
2709.00,-15
2708.00,-15
2707.00,-14
2706.00,-8
2705.00,-1
2704.00,4
2703.00,7
2702.00,13
2701.00,23
2700.00,34
2699.00,44
2698.00,55
2697.00,58
2696.00,58
2695.00,57
2694.00,53
2693.00,49
2692.00,43
2691.00,36
2690.00,31
2689.00,27
2688.00,24
2687.00,20
2686.00,17
2685.00,16
2684.00,16
2683.00,16
2682.00,15
2681.00,15
2680.00,15
2679.00,15
2678.00,13
2677.00,9
2676.00,6
2675.00,3
2674.00,-1
2673.00,-7
2672.00,-14
2671.00,-17
2670.00,-17
2669.00,-16
2668.00,-13
2667.00,-10
2666.00,-7
2665.00,-3
2664.00,1
2663.00,7
2662.00,14
2661.00,26
2660.00,38
2659.00,43
2658.00,44
2657.00,45
2656.00,47
2655.00,47
2654.00,33
2653.00,15
2652.00,6
2651.00,9
2650.00,11
2649.00,8
2648.00,5
2647.00,6
2646.00,9
2645.00,10
2644.00,7
2643.00,5
2642.00,13
2641.00,25
2640.00,28
2639.00,19
2638.00,12
2637.00,13
2636.00,16
2635.00,18
2634.00,21
2633.00,23
2632.00,23
2631.00,23
2630.00,23
2629.00,23
2628.00,22
2627.00,22
2626.00,22
2625.00,22
2624.00,22
2623.00,22
2622.00,22
2621.00,21
2620.00,19
2619.00,16
2618.00,16
2617.00,18
2616.00,22
2615.00,29
2614.00,37
2613.00,38
2612.00,35
2611.00,33
2610.00,33
2609.00,33
2608.00,32
2607.00,32
2606.00,32
2605.00,32
2604.00,31
2603.00,25
2602.00,17
2601.00,12
2600.00,12
2599.00,12
2598.00,12
2597.00,12
2596.00,14
2595.00,19
2594.00,23
2593.00,19
2592.00,14
2591.00,11
2590.00,11
2589.00,11
2588.00,8
2587.00,6
2586.00,2
2585.00,-3
2584.00,-7
2583.00,-8
2582.00,-8
2581.00,3
2580.00,22
2579.00,36
2578.00,29
2577.00,19
2576.00,7
2575.00,-7
2574.00,-15
2573.00,3
2572.00,24
2571.00,32
2570.00,32
2569.00,29
2568.00,16
2567.00,3
2566.00,-2
2565.00,1
2564.00,2
2563.00,2
2562.00,2
2561.00,2
2560.00,2
2559.00,2
2558.00,2
2557.00,2
2556.00,4
2555.00,8
2554.00,12
2553.00,12
2552.00,12
2551.00,12
2550.00,12
2549.00,12
2548.00,14
2547.00,16
2546.00,18
2545.00,20
2544.00,22
2543.00,22
2542.00,22
2541.00,21
2540.00,19
2539.00,17
2538.00,18
2537.00,20
2536.00,22
2535.00,24
2534.00,26
2533.00,29
2532.00,33
2531.00,36
2530.00,36
2529.00,36
2528.00,37
2527.00,39
2526.00,40
2525.00,38
2524.00,36
2523.00,31
2522.00,25
2521.00,19
2520.00,17
2519.00,15
2518.00,15
2517.00,16
2516.00,18
2515.00,16
2514.00,14
2513.00,13
2512.00,13
2511.00,13
2510.00,11
2509.00,9
2508.00,6
2507.00,0
2506.00,-5
2505.00,-8
2504.00,-8
2503.00,-7
2502.00,-6
2501.00,-4
2500.00,-3
2499.00,-3
2498.00,-3
2497.00,2
2496.00,7
2495.00,12
2494.00,13
2493.00,15
2492.00,14
2491.00,12
2490.00,10
2489.00,6
2488.00,2
2487.00,4
2486.00,9
2485.00,14
2484.00,18
2483.00,21
2482.00,21
2481.00,16
2480.00,11
2479.00,18
2478.00,28
2477.00,36
2476.00,36
2475.00,36
2474.00,30
2473.00,19
2472.00,10
2471.00,5
2470.00,1
2469.00,-0
2468.00,1
2467.00,3
2466.00,2
2465.00,0
2464.00,-1
2463.00,2
2462.00,6
2461.00,6
2460.00,5
2459.00,3
2458.00,4
2457.00,6
2456.00,6
2455.00,5
2454.00,3
2453.00,3
2452.00,5
2451.00,6
2450.00,1
2449.00,-4
2448.00,-6
2447.00,-3
2446.00,0
2445.00,3
2444.00,4
2443.00,6
2442.00,7
2441.00,9
2440.00,9
2439.00,9
2438.00,9
2437.00,9
2436.00,9
2435.00,9
2434.00,9
2433.00,9
2432.00,7
2431.00,4
2430.00,1
2429.00,0
2428.00,0
2427.00,-0
2426.00,-2
2425.00,-3
2424.00,-4
2423.00,-4
2422.00,-4
2421.00,-3
2420.00,-2
2419.00,-1
2418.00,-4
2417.00,-7
2416.00,-14
2415.00,-26
2414.00,-37
2413.00,-18
2412.00,14
2411.00,35
2410.00,11
2409.00,-19
2408.00,-37
2407.00,-37
2406.00,-37
2405.00,-21
2404.00,3
2403.00,22
2402.00,16
2401.00,5
2400.00,-4
2399.00,-10
2398.00,-16
2397.00,-12
2396.00,-2
2395.00,8
2394.00,9
2393.00,9
2392.00,9
2391.00,9
2390.00,9
2389.00,9
2388.00,9
2387.00,9
2386.00,7
2385.00,6
2384.00,4
2383.00,3
2382.00,1
2381.00,0
2380.00,0
2379.00,0
2378.00,1
2377.00,2
2376.00,3
2375.00,4
2374.00,4
2373.00,3
2372.00,3
2371.00,3
2370.00,3
2369.00,3
2368.00,3
2367.00,3
2366.00,3
2365.00,3
2364.00,0
2363.00,-3
2362.00,-5
2361.00,-6
2360.00,-8
2359.00,-6
2358.00,-2
2357.00,1
2356.00,3
2355.00,5
2354.00,6
2353.00,6
2352.00,5
2351.00,5
2350.00,5
2349.00,5
2348.00,4
2347.00,3
2346.00,2
2345.00,3
2344.00,6
2343.00,7
2342.00,4
2341.00,0
2340.00,-3
2339.00,-4
2338.00,-6
2337.00,-6
2336.00,-6
2335.00,-6
2334.00,-7
2333.00,-7
2332.00,-7
2331.00,-8
2330.00,-9
2329.00,-10
2328.00,-9
2327.00,-8
2326.00,-7
2325.00,-7
2324.00,-7
2323.00,-4
2322.00,1
2321.00,5
2320.00,1
2319.00,-5
2318.00,-10
2317.00,-11
2316.00,-11
2315.00,-9
2314.00,-2
2313.00,6
2312.00,10
2311.00,11
2310.00,12
2309.00,12
2308.00,10
2307.00,9
2306.00,10
2305.00,11
2304.00,12
2303.00,11
2302.00,9
2301.00,9
2300.00,10
2299.00,11
2298.00,12
2297.00,12
2296.00,12
2295.00,12
2294.00,13
2293.00,14
2292.00,14
2291.00,12
2290.00,11
2289.00,11
2288.00,11
2287.00,11
2286.00,11
2285.00,11
2284.00,10
2283.00,7
2282.00,5
2281.00,3
2280.00,2
2279.00,1
2278.00,1
2277.00,2
2276.00,4
2275.00,6
2274.00,8
2273.00,10
2272.00,11
2271.00,12
2270.00,13
2269.00,13
2268.00,13
2267.00,12
2266.00,11
2265.00,10
2264.00,9
2263.00,8
2262.00,6
2261.00,4
2260.00,0
2259.00,-3
2258.00,-4
2257.00,-4
2256.00,-4
2255.00,-3
2254.00,-2
2253.00,-1
2252.00,-1
2251.00,-1
2250.00,-1
2249.00,-3
2248.00,-4
2247.00,-3
2246.00,-0
2245.00,3
2244.00,5
2243.00,6
2242.00,7
2241.00,6
2240.00,2
2239.00,-1
2238.00,-6
2237.00,-11
2236.00,-16
2235.00,-11
2234.00,-4
2233.00,3
2232.00,5
2231.00,6
2230.00,6
2229.00,-1
2228.00,-9
2227.00,-12
2226.00,-1
2225.00,11
2224.00,21
2223.00,28
2222.00,34
2221.00,33
2220.00,23
2219.00,12
2218.00,8
2217.00,10
2216.00,12
2215.00,13
2214.00,13
2213.00,13
2212.00,10
2211.00,7
2210.00,4
2209.00,4
2208.00,5
2207.00,6
2206.00,6
2205.00,6
2204.00,6
2203.00,6
2202.00,6
2201.00,5
2200.00,3
2199.00,-1
2198.00,-3
2197.00,0
2196.00,3
2195.00,5
2194.00,2
2193.00,-1
2192.00,-3
2191.00,-2
2190.00,-1
2189.00,-1
2188.00,-1
2187.00,-1
2186.00,1
2185.00,5
2184.00,9
2183.00,10
2182.00,8
2181.00,6
2180.00,6
2179.00,8
2178.00,10
2177.00,9
2176.00,7
2175.00,5
2174.00,7
2173.00,11
2172.00,15
2171.00,14
