Created as New Dataset,
Raman Shift / cm-1,INT
3200.00,71
3199.00,107
3198.00,154
3197.00,226
3196.00,312
3195.00,331
3194.00,329
3193.00,326
3192.00,286
3191.00,196
3190.00,165
3189.00,164
3188.00,163
3187.00,161
3186.00,159
3185.00,157
3184.00,153
3183.00,150
3182.00,149
3181.00,151
3180.00,154
3179.00,154
3178.00,131
3177.00,94
3176.00,115
3175.00,147
3174.00,150
3173.00,162
3172.00,200
3171.00,237
3170.00,271
3169.00,277
3168.00,276
3167.00,274
3166.00,238
3165.00,129
3164.00,76
3163.00,76
3162.00,75
3161.00,65
3160.00,4
3159.00,-37
3158.00,-6
3157.00,13
3156.00,13
3155.00,36
3154.00,63
3153.00,42
3152.00,15
3151.00,13
3150.00,-22
3149.00,-115
3148.00,-67
3147.00,89
3146.00,174
3145.00,223
3144.00,202
3143.00,185
3142.00,212
3141.00,216
3140.00,183
3139.00,80
3138.00,-55
3137.00,-43
3136.00,6
3135.00,12
3134.00,20
3133.00,47
3132.00,63
3131.00,62
3130.00,45
3129.00,19
3128.00,12
3127.00,12
3126.00,12
3125.00,12
3124.00,12
3123.00,42
3122.00,119
3121.00,168
3120.00,193
3119.00,199
3118.00,196
3117.00,175
3116.00,161
3115.00,204
3114.00,239
3113.00,239
3112.00,217
3111.00,169
3110.00,151
3109.00,156
3108.00,154
3107.00,146
3106.00,102
3105.00,60
3104.00,55
3103.00,49
3102.00,27
3101.00,12
3100.00,12
3099.00,12
3098.00,12
3097.00,27
3096.00,48
3095.00,53
3094.00,60
3093.00,116
3092.00,165
3091.00,149
3090.00,115
3089.00,51
3088.00,12
3087.00,12
3086.00,1
3085.00,-20
3084.00,-27
3083.00,-27
3082.00,-27
3081.00,-26
3080.00,-26
3079.00,-29
3078.00,-47
3077.00,-48
3076.00,7
3075.00,48
3074.00,49
3073.00,49
3072.00,48
3071.00,68
3070.00,107
3069.00,132
3068.00,147
3067.00,98
3066.00,27
3065.00,12
3064.00,8
3063.00,-24
3062.00,-57
3061.00,-77
3060.00,-79
3059.00,-29
3058.00,10
3057.00,11
3056.00,18
3055.00,35
3054.00,45
3053.00,45
3052.00,44
3051.00,44
3050.00,55
3049.00,71
3048.00,76
3047.00,75
3046.00,62
3045.00,45
3044.00,28
3043.00,15
3042.00,27
3041.00,38
3040.00,25
3039.00,9
3038.00,-7
3037.00,-15
3036.00,-1
3035.00,15
3034.00,30
3033.00,35
3032.00,20
3031.00,17
3030.00,32
3029.00,54
3028.00,84
3027.00,98
3026.00,98
3025.00,97
3024.00,98
3023.00,242
3022.00,467
3021.00,426
3020.00,241
3019.00,199
3018.00,230
3017.00,341
3016.00,467
3015.00,393
3014.00,258
3013.00,193
3012.00,150
3011.00,108
3010.00,73
3009.00,88
3008.00,108
3007.00,78
3006.00,46
3005.00,75
3004.00,105
3003.00,74
3002.00,40
3001.00,36
3000.00,40
2999.00,63
2998.00,79
2997.00,58
2996.00,41
2995.00,62
2994.00,78
2993.00,57
2992.00,38
2991.00,48
2990.00,57
2989.00,58
2988.00,58
2987.00,57
2986.00,57
2985.00,57
2984.00,57
2983.00,57
2982.00,54
2981.00,43
2980.00,33
2979.00,33
2978.00,32
2977.00,32
2976.00,37
2975.00,58
2974.00,78
2973.00,91
2972.00,100
2971.00,100
2970.00,99
2969.00,99
2968.00,98
2967.00,98
2966.00,94
2965.00,74
2964.00,53
2963.00,41
2962.00,32
2961.00,30
2960.00,29
2959.00,20
2958.00,10
2957.00,8
2956.00,10
2955.00,27
2954.00,47
2953.00,59
2952.00,68
2951.00,62
2950.00,53
2949.00,65
2948.00,84
2947.00,89
2946.00,89
2945.00,81
2944.00,71
2943.00,68
2942.00,68
2941.00,67
2940.00,67
2939.00,67
2938.00,66
2937.00,71
2936.00,80
2935.00,55
2934.00,-12
2933.00,-50
2932.00,-50
2931.00,-47
2930.00,-37
2929.00,-22
2928.00,4
2927.00,29
2926.00,47
2925.00,63
2924.00,72
2923.00,80
2922.00,89
2921.00,96
2920.00,97
2919.00,95
2918.00,88
2917.00,80
2916.00,77
2915.00,76
2914.00,52
2913.00,19
2912.00,1
2911.00,-7
2910.00,8
2909.00,41
2908.00,50
2907.00,33
2906.00,23
2905.00,23
2904.00,23
2903.00,23
2902.00,23
2901.00,23
2900.00,19
2899.00,-3
2898.00,-22
2897.00,-12
2896.00,2
2895.00,6
2894.00,6
2893.00,11
2892.00,19
2891.00,36
2890.00,59
2889.00,73
2888.00,80
2887.00,72
2886.00,43
2885.00,19
2884.00,11
2883.00,7
2882.00,13
2881.00,20
2880.00,28
2879.00,30
2878.00,-10
2877.00,-57
2876.00,-38
2875.00,4
2874.00,24
2873.00,31
2872.00,31
2871.00,24
2870.00,22
2869.00,28
2868.00,33
2867.00,33
2866.00,35
2865.00,48
2864.00,60
2863.00,62
2862.00,62
2861.00,61
2860.00,61
2859.00,56
2858.00,49
2857.00,46
2856.00,46
2855.00,39
2854.00,20
2853.00,10
2852.00,33
2851.00,51
2850.00,21
2849.00,-14
2848.00,-3
2847.00,22
2846.00,38
2845.00,50
2844.00,54
2843.00,47
2842.00,41
2841.00,34
2840.00,29
2839.00,29
2838.00,30
2837.00,40
2836.00,51
2835.00,45
2834.00,33
2833.00,28
2832.00,28
2831.00,30
2830.00,36
2829.00,41
2828.00,47
2827.00,51
2826.00,46
2825.00,42
2824.00,53
2823.00,70
2822.00,76
2821.00,75
2820.00,73
2819.00,67
2818.00,61
2817.00,55
2816.00,50
2815.00,44
2814.00,38
2813.00,33
2812.00,27
2811.00,25
2810.00,25
2809.00,27
2808.00,32
2807.00,36
2806.00,36
2805.00,35
2804.00,35
2803.00,35
2802.00,31
2801.00,26
2800.00,26
2799.00,31
2798.00,33
2797.00,28
2796.00,26
2795.00,38
2794.00,52
2793.00,52
2792.00,46
2791.00,44
2790.00,44
2789.00,40
2788.00,30
2787.00,24
2786.00,32
2785.00,41
2784.00,43
2783.00,42
2782.00,33
2781.00,19
2780.00,14
2779.00,23
2778.00,32
2777.00,41
2776.00,49
2775.00,35
2774.00,16
2773.00,9
2772.00,9
2771.00,12
2770.00,21
2769.00,28
2768.00,29
2767.00,29
2766.00,36
2765.00,45
2764.00,49
2763.00,49
2762.00,47
2761.00,43
2760.00,38
2759.00,33
2758.00,29
2757.00,28
2756.00,27
2755.00,21
2754.00,8
2753.00,-3
2752.00,-8
2751.00,-12
2750.00,-12
2749.00,-12
2748.00,-5
2747.00,8
2746.00,12
2745.00,-0
2744.00,-15
2743.00,-42
2742.00,-69
2741.00,-58
2740.00,-29
2739.00,-6
2738.00,10
2737.00,18
2736.00,-3
2735.00,-27
2734.00,-54
2733.00,-82
2732.00,-70
2731.00,-23
2730.00,12
2729.00,14
2728.00,13
2727.00,7
2726.00,-1
2725.00,0
2724.00,8
2723.00,13
2722.00,13
2721.00,14
2720.00,20
2719.00,27
2718.00,33
2717.00,36
2716.00,39
2715.00,38
2714.00,37
2713.00,31
2712.00,23
2711.00,20
2710.00,20
2709.00,20
2708.00,20
2707.00,19
2706.00,13
2705.00,6
2704.00,14
2703.00,31
2702.00,47
2701.00,58
2700.00,66
2699.00,62
2698.00,54
2697.00,51
2696.00,51
2695.00,50
2694.00,46
2693.00,43
2692.00,42
2691.00,42
2690.00,40
2689.00,36
2688.00,33
2687.00,29
2686.00,26
2685.00,30
2684.00,37
2683.00,40
2682.00,40
2681.00,39
2680.00,36
2679.00,33
2678.00,29
2677.00,26
2676.00,22
2675.00,19
2674.00,16
2673.00,15
2672.00,15
2671.00,17
2670.00,20
2669.00,23
2668.00,26
2667.00,29
2666.00,32
2665.00,35
2664.00,34
2663.00,28
2662.00,23
2661.00,31
2660.00,40
2659.00,42
2658.00,40
2657.00,39
2656.00,40
2655.00,41
2654.00,32
2653.00,19
2652.00,12
2651.00,12
2650.00,12
2649.00,12
2648.00,12
2647.00,14
2646.00,16
2645.00,18
2644.00,15
2643.00,12
2642.00,18
2641.00,27
2640.00,28
2639.00,19
2638.00,12
2637.00,13
2636.00,16
2635.00,19
2634.00,21
2633.00,23
2632.00,23
2631.00,23
2630.00,23
2629.00,23
2628.00,22
2627.00,22
2626.00,22
2625.00,22
2624.00,22
2623.00,23
2622.00,25
2621.00,27
2620.00,23
2619.00,17
2618.00,17
2617.00,22
2616.00,28
2615.00,38
2614.00,49
2613.00,51
2612.00,48
2611.00,43
2610.00,33
2609.00,23
2608.00,19
2607.00,19
2606.00,20
2605.00,22
2604.00,24
2603.00,25
2602.00,25
2601.00,24
2600.00,24
2599.00,24
2598.00,24
2597.00,24
2596.00,27
2595.00,34
2594.00,40
2593.00,36
2592.00,31
2591.00,25
2590.00,18
2589.00,11
2588.00,8
2587.00,5
2586.00,0
2585.00,-7
2584.00,-14
2583.00,-14
2582.00,-14
2581.00,0
2580.00,26
2579.00,46
2578.00,37
2577.00,25
2576.00,16
2575.00,9
2574.00,10
2573.00,45
2572.00,85
2571.00,89
2570.00,70
2569.00,52
2568.00,38
2567.00,24
2566.00,27
2565.00,40
2564.00,51
2563.00,52
2562.00,51
2561.00,47
2560.00,40
2559.00,34
2558.00,29
2557.00,24
2556.00,30
2555.00,42
2554.00,53
2553.00,50
2552.00,46
2551.00,39
2550.00,30
2549.00,22
2548.00,21
2547.00,21
2546.00,22
2545.00,24
2544.00,25
2543.00,25
2542.00,25
2541.00,24
2540.00,22
2539.00,20
2538.00,19
2537.00,19
2536.00,21
2535.00,27
2534.00,33
2533.00,36
2532.00,38
2531.00,39
2530.00,39
2529.00,39
2528.00,38
2527.00,38
2526.00,38
2525.00,38
2524.00,38
2523.00,34
2522.00,28
2521.00,23
2520.00,24
2519.00,25
2518.00,27
2517.00,29
2516.00,31
2515.00,34
2514.00,38
2513.00,40
2512.00,40
2511.00,39
2510.00,35
2509.00,29
2508.00,25
2507.00,26
2506.00,28
2505.00,29
2504.00,28
2503.00,28
2502.00,28
2501.00,28
2500.00,28
2499.00,30
2498.00,32
2497.00,32
2496.00,32
2495.00,31
2494.00,29
2493.00,27
2492.00,23
2491.00,20
2490.00,16
2489.00,12
2488.00,8
2487.00,6
2486.00,6
2485.00,7
2484.00,10
2483.00,13
2482.00,13
2481.00,10
2480.00,7
2479.00,14
2478.00,24
2477.00,32
2476.00,32
2475.00,32
2474.00,29
2473.00,23
2472.00,18
2471.00,16
2470.00,14
2469.00,13
2468.00,15
2467.00,16
2466.00,17
2465.00,17
2464.00,17
2463.00,22
2462.00,27
2461.00,30
2460.00,32
2459.00,33
2458.00,35
2457.00,36
2456.00,37
2455.00,35
2454.00,33
2453.00,28
2452.00,22
2451.00,16
2450.00,14
2449.00,14
2448.00,15
2447.00,16
2446.00,17
2445.00,17
2444.00,15
2443.00,13
2442.00,11
2441.00,10
2440.00,9
2439.00,11
2438.00,12
2437.00,12
2436.00,12
2435.00,12
2434.00,12
2433.00,12
2432.00,9
2431.00,5
2430.00,-0
2429.00,-1
2428.00,-1
2427.00,-2
2426.00,-3
2425.00,-5
2424.00,-6
2423.00,-6
2422.00,-6
2421.00,-6
2420.00,-7
2419.00,-7
2418.00,-7
2417.00,-7
2416.00,-1
2415.00,12
2414.00,26
2413.00,41
2412.00,57
2411.00,66
2410.00,40
2409.00,11
2408.00,-6
2407.00,-2
2406.00,3
2405.00,8
2404.00,14
2403.00,17
2402.00,9
2401.00,-2
2400.00,-9
2399.00,-9
2398.00,-9
2397.00,-1
2396.00,12
2395.00,23
2394.00,23
2393.00,20
2392.00,18
2391.00,17
2390.00,17
2389.00,18
2388.00,21
2387.00,24
2386.00,23
2385.00,22
2384.00,20
2383.00,17
2382.00,14
2381.00,12
2380.00,14
2379.00,15
2378.00,14
2377.00,13
2376.00,11
2375.00,8
2374.00,5
2373.00,4
2372.00,6
2371.00,9
2370.00,12
2369.00,16
2368.00,20
2367.00,21
2366.00,21
2365.00,20
2364.00,19
2363.00,17
2362.00,16
2361.00,16
2360.00,16
2359.00,18
2358.00,22
2357.00,26
2356.00,27
2355.00,29
2354.00,29
2353.00,28
2352.00,26
2351.00,25
2350.00,25
2349.00,25
2348.00,24
2347.00,23
2346.00,21
2345.00,21
2344.00,21
2343.00,19
2342.00,13
2341.00,7
2340.00,2
2339.00,-1
2338.00,-4
2337.00,-4
2336.00,-2
2335.00,1
2334.00,2
2333.00,3
2332.00,4
2331.00,6
2330.00,7
2329.00,8
2328.00,9
2327.00,10
2326.00,11
2325.00,10
2324.00,10
2323.00,9
2322.00,8
2321.00,7
2320.00,3
2319.00,-0
2318.00,-4
2317.00,-4
2316.00,-4
2315.00,-4
2314.00,-1
2313.00,1
2312.00,4
2311.00,9
2310.00,14
2309.00,14
2308.00,13
2307.00,12
2306.00,12
2305.00,14
2304.00,14
2303.00,12
2302.00,9
2301.00,8
2300.00,7
2299.00,7
2298.00,7
2297.00,7
2296.00,7
2295.00,8
2294.00,9
2293.00,10
2292.00,10
2291.00,10
2290.00,10
2289.00,9
2288.00,9
2287.00,9
2286.00,9
2285.00,9
2284.00,8
2283.00,6
2282.00,3
2281.00,1
2280.00,-0
2279.00,-1
2278.00,-0
2277.00,2
2276.00,4
2275.00,9
2274.00,15
2273.00,20
2272.00,20
2271.00,20
